"","site","species","resp.ratio.site_D","resp.ratio.site_PD","SE.RII_D","SE.RII_PD","persistence.site","mean.ctrl.cov","percrank","absrank","spatial_rarity","temporal_rarity"
"1","CHY","Allium_textile",-0.253012048192771,-0.273972602739726,0.0200454324129532,0.0111554753297721,0.8,0.43,0.811881188118812,83,0.188118811881188,0.2
"2","CHY","Antennaria_parvifolia",-0.818181818181818,NA,0.0386955044398022,NA,0.1,0.025,0.425742574257426,44,0.574257425742574,0.9
"3","CHY","Antennaria_rosea",0.217391304347826,0.00483091787439668,0.0830883323479352,0.0465177887796067,1,0.357499999999999,0.801980198019802,82,0.198019801980198,0
"4","CHY","Aristida_purpurea",-1,NA,0,NA,0.1,0.00500000000000001,0.306930693069307,32,0.693069306930693,0.9
"5","CHY","Artemesia_dracunculus",0.0909090909090905,-0.0476190476190469,0.107426418187231,0.139011913140086,0.8,0.04,0.465346534653465,48,0.534653465346535,0.2
"6","CHY","Artemesia_frigida",-0.322233104799217,-0.28686327077748,0.00258137900611619,0.00508876111433814,1,5.6075,0.94059405940594,96,0.0594059405940595,0
"7","CHY","Artemesia_ludoviciana",NA,1,NA,0,0,0,0,10.5,1,1
"8","CHY","Astragalus_drummondii",-0.514018691588785,-0.43030303030303,0.06968682301661,0.0232009656104314,1,0.5025,0.831683168316832,85,0.168316831683168,0
"9","CHY","Astragalus_laxmanii",-0.268292682926829,-0.0434782608695653,0.0745796091542759,0.0846390176446036,0.8,0.0974999999999999,0.613861386138614,63,0.386138613861386,0.2
"10","CHY","Astragalus_shortianus",0.225806451612903,-0.106719367588933,0.0282184637008943,0.0213062323892437,1,0.5475,0.841584158415842,86,0.158415841584158,0
"11","CHY","Astragalus_sp.",0.636363636363636,1,0.117653578152848,0,0.1,0.00500000000000001,0.297029702970297,31,0.702970297029703,0.9
"12","CHY","Bouteloua_dactyloides",-0.547169811320755,-0.153846153846154,0.0417418558836548,0.0397522608314848,0.9,0.1875,0.742574257425743,76,0.257425742574257,0.1
"13","CHY","Bouteloua_gracilis",-0.238255033557047,-0.159811193526635,0.00237668723006136,0.00333356494625896,1,16.7125,0.99009900990099,101,0.00990099009900991,0
"14","CHY","Bouteloua_hirsuta",0.272727272727274,NA,0.0920627679342226,NA,0.1,0.03,0.445544554455446,46,0.554455445544555,0.9
"15","CHY","Bromus_japonicus",NA,1,NA,0,0,0,0,10.5,1,1
"16","CHY","Bromus_tectorum",0.809523809523809,0.880681818181818,0.0163081362267236,0.00656282703361286,0.6,0.0575000000000002,0.524752475247525,54,0.475247524752475,0.4
"17","CHY","Carex_eleocharis",0.0269192422731805,0.0317912738434556,0.000830869225883358,0.000963831094313996,1,22.995,1,102,0,0
"18","CHY","Carex_filifolia",1,-0.530434782608696,0,0.147022807175913,0.1,0.220000000000001,0.752475247524752,77,0.247524752475248,0.9
