"Spcode","Species","Site","Plot","Block","Trt","Year","avg.cover"
2,"Achillea_millefolium","HYS",16,6,"int",2020,11.25
2,"Achillea_millefolium","HYS",4,2,"int",2019,0.25
2,"Achillea_millefolium","HYS",5,2,"chr",2014,0.5
2,"Achillea_millefolium","HYS",6,2,"con",2018,0.25
2,"Achillea_millefolium","HYS",6,2,"con",2013,2.75
2,"Achillea_millefolium","HYS",5,2,"chr",2016,0.25
2,"Achillea_millefolium","KNZ",1,1,"int",2014,0.5
2,"Achillea_millefolium","KNZ",1,1,"int",2015,0.75
2,"Achillea_millefolium","HYS",17,6,"con",2021,0.25
2,"Achillea_millefolium","HYS",13,5,"chr",2021,5
2,"Achillea_millefolium","HYS",5,2,"chr",2017,0.25
2,"Achillea_millefolium","HYS",15,5,"con",2021,0.25
2,"Achillea_millefolium","HYS",1,1,"chr",2012,0.75
2,"Achillea_millefolium","HYS",1,1,"chr",2013,1.5
2,"Achillea_millefolium","HYS",13,5,"chr",2016,4
2,"Achillea_millefolium","HYS",6,2,"con",2012,3.25
2,"Achillea_millefolium","HYS",1,1,"chr",2016,7.75
2,"Achillea_millefolium","HYS",1,1,"chr",2017,1.5
2,"Achillea_millefolium","KNZ",1,1,"int",2013,3
2,"Achillea_millefolium","HYS",1,1,"chr",2019,0.25
2,"Achillea_millefolium","KNZ",2,1,"chr",2018,0.25
2,"Achillea_millefolium","HYS",6,2,"con",2017,0.5
2,"Achillea_millefolium","KNZ",1,1,"int",2017,2
2,"Achillea_millefolium","KNZ",1,1,"int",2018,2.5
2,"Achillea_millefolium","HYS",4,2,"int",2017,0.25
2,"Achillea_millefolium","KNZ",1,1,"int",2020,2.75
2,"Achillea_millefolium","KNZ",1,1,"int",2021,2.25
2,"Achillea_millefolium","HYS",16,6,"int",2018,0.25
2,"Achillea_millefolium","HYS",27,9,"chr",2016,0.25
2,"Achillea_millefolium","HYS",3,1,"con",2013,1.5
2,"Achillea_millefolium","HYS",3,1,"con",2015,1.25
2,"Achillea_millefolium","HYS",3,1,"con",2016,1.5
2,"Achillea_millefolium","HYS",5,2,"chr",2015,0.5
2,"Achillea_millefolium","KNZ",2,1,"chr",2020,0.75
2,"Achillea_millefolium","HYS",1,1,"chr",2021,4.5
2,"Achillea_millefolium","KNZ",2,1,"chr",2019,1
2,"Achillea_millefolium","HYS",16,6,"int",2019,4.25
2,"Achillea_millefolium","KNZ",2,1,"chr",2015,0.25
2,"Achillea_millefolium","HYS",3,1,"con",2014,1.25
2,"Achillea_millefolium","KNZ",2,1,"chr",2013,1.5
2,"Achillea_millefolium","HYS",28,10,"chr",2021,0.25
2,"Achillea_millefolium","HYS",13,5,"chr",2014,0.5
2,"Achillea_millefolium","HYS",5,2,"chr",2012,0.75
2,"Achillea_millefolium","HYS",6,2,"con",2015,1
2,"Achillea_millefolium","HYS",3,1,"con",2021,0.25
2,"Achillea_millefolium","HYS",3,1,"con",2020,0.25
2,"Achillea_millefolium","HYS",25,9,"int",2021,0.25
