Species,Spcode,Genus_species,Functional.group,Ps.pathway ,origin,duration,notes
Achille amillefolium,2,Achillea_millefolium,forb,unknown,native,perennial ,
Achillea_millefolium,2,Achillea_millefolium,forb,unknown,native,perennial ,
Achilleamillefolium,2,Achillea_millefolium,forb,unknown,native,perennial ,
ACMI,2,Achillea_millefolium,forb,unknown,native,perennial ,
Allium textile,3,Allium_textile,forb,unknown,native,perennial ,
Allium_textile,3,Allium_textile,forb,unknown,native,perennial ,
Alliumtextile,3,Allium_textile,forb,unknown,native,perennial ,
Amaranthus.sp.,4,Amaranthus_sp.,forb,unknown,unknown,unknown,
Ambrosia psilostachya,5,Ambrosia_psilostachya,forb,unknown,native,perennial ,
Ambrosia_psilostachya,5,Ambrosia_psilostachya,forb,unknown,native,perennial ,
Ambrosiapsilostachya,5,Ambrosia_psilostachya,forb,unknown,native,perennial ,
AMPS,5,Ambrosia_psilostachya,forb,unknown,native,perennial ,
AMCA,6,Amorpha_canescens,forb,unknown,native,perennial ,
Amorpha_canescens,6,Amorpha_canescens,forb,unknown,native,perennial ,
Amorphacanescens,6,Amorpha_canescens,forb,unknown,native,perennial ,
Andropogon_gerardii,7,Andropogon_gerardii,graminoid,c4,native,perennial ,
Andropogongerardii,7,Andropogon_gerardii,graminoid,c4,native,perennial ,
ANGE,7,Andropogon_gerardii,graminoid,c4,native,perennial ,
"""Andropogon japon""",9,Andropogon_ternarius,graminoid,c4,native,perennial ,
Andopogonguyanus,9,Andropogon_ternarius,graminoid,c4,native,perennial ,
Andropogon_ternarius,9,Andropogon_ternarius,graminoid,c4,native,perennial ,
Andropogonhallii,9,Andropogon_ternarius,graminoid,c4,native,perennial ,
Andropogonternarius,9,Andropogon_ternarius,graminoid,c4,native,perennial ,
Androsaceoccidentalis,10,Androsace_occidentalis,forb,unknown,native,annual,
ANNE,11,Antennaria_neglecta,forb,unknown,native,perennial ,
Antennaria_neglecta,11,Antennaria_neglecta,forb,unknown,native,perennial ,
Antennarianeglecta,11,Antennaria_neglecta,forb,unknown,native,perennial ,
Antennaria rosea,12,Antennaria_rosea,forb,unknown,native,perennial ,
Antennaria_rosea,12,Antennaria_rosea,forb,unknown,native,perennial ,
Antennariarosea,12,Antennaria_rosea,forb,unknown,native,perennial ,
Artemesia_rosea,12,Antennaria_rosea,forb,unknown,native,perennial ,
BABR,13,Baptisia_bracteata,forb,unknown,native,perennial ,
Baptisia_bracteata,13,Baptisia_bracteata,forb,unknown,native,perennial ,
Baptisiabracteata,13,Baptisia_bracteata,forb,unknown,native,perennial ,
Aristida purpurea,14,Aristida_purpuea,graminoid,c4,native,annual or perennial,
Aristida_purpurea,14,Aristida_purpuea,graminoid,c4,native,annual or perennial,
Aristida.purpurea,14,Aristida_purpuea,graminoid,c4,native,annual or perennial,
Aristidapurpurea,14,Aristida_purpuea,graminoid,c4,native,annual or perennial,
ARLU,15,Artemisia_ludiviciana,forb,unknown,native,perennial ,
Artemesia_ludoviciana,15,Artemisia_ludiviciana,forb,unknown,native,perennial ,
Artemisia,15,Artemisia_ludiviciana,forb,unknown,native,perennial ,
Artemisia ludoviciana,15,Artemisia_ludiviciana,forb,unknown,native,perennial ,
Artemisialudoviciana,15,Artemisia_ludiviciana,forb,unknown,native,perennial ,
Art. frid,16,Artemisia_frigida,subshrub,c3,native,perennial ,
Art. frid.,16,Artemisia_frigida,subshrub,c3,native,perennial ,
Artemesia fri,16,Artemisia_frigida,subshrub,c3,native,perennial ,
Artemesia fria,16,Artemisia_frigida,subshrub,c3,native,perennial ,
Artemesia fridgida,16,Artemisia_frigida,subshrub,c3,native,perennial ,
Artemesia frigida,16,Artemisia_frigida,subshrub,c3,native,perennial ,
Artemesia_frigida,16,Artemisia_frigida,subshrub,c3,native,perennial ,
Artemisia frigida,16,Artemisia_frigida,subshrub,c3,native,perennial ,
Artemisiafrigida,16,Artemisia_frigida,subshrub,c3,native,perennial ,
ASPA,16,Artemisia_frigida,subshrub,c3,native,perennial ,
Forb/other,16,Artemisia_frigida,subshrub,c3,native,perennial ,
Artemesia dracunculus,17,Artemisia_dracunculus,forb,unknown,native,perennial ,
Artemesia drancunlus,17,Artemisia_dracunculus,forb,unknown,native,perennial ,
Artemesia drucum,17,Artemisia_dracunculus,forb,unknown,native,perennial ,
Artemesia_dracunculus,17,Artemisia_dracunculus,forb,unknown,native,perennial ,
Artemisia dracanculus,17,Artemisia_dracunculus,forb,unknown,native,perennial ,
Artemisia dracunculus,17,Artemisia_dracunculus,forb,unknown,native,perennial ,
Artemisiadracunculus,17,Artemisia_dracunculus,forb,unknown,native,perennial ,
Asclepias seedling,18,Asclepias_sp. ,forb,unknown,unknown,unknown,
Asclepias_stenophylla,19,Asclepias_stenophylla,forb,unknown,native,perennial ,
Asclepiasstenophylla,19,Asclepias_stenophylla,forb,unknown,native,perennial ,
ASST,19,Asclepias_stenophylla,forb,unknown,native,perennial ,
Asclepias sullivantii,20,Asclepias_sullivantii,forb,unknown,native,perennial ,
Asclepias_sullivantii,20,Asclepias_sullivantii,forb,unknown,native,perennial ,
asclepiassullivantii,20,Asclepias_sullivantii,forb,unknown,native,perennial ,
Asclepiassullivantii,20,Asclepias_sullivantii,forb,unknown,native,perennial ,
asclepiassullvant,20,Asclepias_sullivantii,forb,unknown,native,perennial ,
ASSU3,20,Asclepias_sullivantii,forb,unknown,native,perennial ,
Asclepias_verticillata,22,Asclepias_verticillata,forb,unknown,native,perennial ,
Asclepiasverticillata,22,Asclepias_verticillata,forb,unknown,native,perennial ,
ASVE,22,Asclepias_verticillata,forb,unknown,native,perennial ,
Asclepiasviridiflora,23,Asclepias_viridflora,forb,unknown,native,perennial ,
Asclepias_virdis,24,Asclepias_viridis,forb,unknown,native,perennial ,
Asclepias_viridis,24,Asclepias_viridis,forb,unknown,native,perennial ,
Asclepiasviridis,24,Asclepias_viridis,forb,unknown,native,perennial ,
ASVI,24,Asclepias_viridis,forb,unknown,native,perennial ,
Asclepiasasperula,25,Asclepias_asperula,forb,unknown,native,perennial ,
Asclepias unknown,26,Asclepias_sp. ,forb,unknown,unknown,unknown,
Asclepiassp.,26,Asclepias_sp. ,forb,unknown,unknown,unknown,
Asclepias_tuberosa,27,Asclepias_tuberosa,forb,unknown,native,perennial ,
asclepiastuberosa,27,Asclepias_tuberosa,forb,unknown,native,perennial ,
Asclepiastuberosa,27,Asclepias_tuberosa,forb,unknown,native,perennial ,
ASTU,27,Asclepias_tuberosa,forb,unknown,native,perennial ,
Aster_ericoides,28,Aster_ericoides,forb,unknown,native,perennial ,
Asterericoides,28,Aster_ericoides,forb,unknown,native,perennial ,
SYER,28,Aster_ericoides,forb,unknown,native,perennial ,
aster oblong,29,Aster_oblongifolius ,forb,unknown,native,perennial ,
Aster_oblongifolia,29,Aster_oblongifolius ,forb,unknown,native,perennial ,
Aster_oblongifolium,29,Aster_oblongifolius ,forb,unknown,native,perennial ,
Aster_oblongifolius,29,Aster_oblongifolius ,forb,unknown,native,perennial ,
Aster.oblongifolius,29,Aster_oblongifolius ,forb,unknown,native,perennial ,
Asteroblongifolius,29,Aster_oblongifolius ,forb,unknown,native,perennial ,
Astragalus drummundii,31,Astragalus_drummondii,forb,unknown,native,perennial ,
Astragalus_drummondii,31,Astragalus_drummondii,forb,unknown,native,perennial ,
Astragalusdrummondii,31,Astragalus_drummondii,forb,unknown,native,perennial ,
Astragalus flex,32,Astragalus_flexuosus,forb,unknown,native,perennial ,
Astragalus flexuosus,32,Astragalus_flexuosus,forb,unknown,native,perennial ,
Astragalus_fluxuosus,32,Astragalus_flexuosus,forb,unknown,native,perennial ,
Astragalusgracilis,33,Astragalus_gracilis,forb,unknown,native,perennial ,
Astragalus laxmanii,34,Astragalus_laxmanii,forb,unknown,native,perennial ,
Astragalus_laxmanii,34,Astragalus_laxmanii,forb,unknown,native,perennial ,
Astragaluslaxmannii,34,Astragalus_laxmanii,forb,unknown,native,perennial ,
Astragaluslotiflorus,35,Astragalus_lotiflorus,forb,unknown,native,perennial ,
Astragalus mollissimus,36,Astragalus_mollissimus,forb,unknown,native,perennial ,
Astragalus_mollissimus,36,Astragalus_mollissimus,forb,unknown,native,perennial ,
Astragalusmollissimus,36,Astragalus_mollissimus,forb,unknown,native,perennial ,
Astragaulusmollissimus,36,Astragalus_mollissimus,forb,unknown,native,perennial ,
Aastragalus shortianus,37,Astragalus_shortianus,forb,unknown,native,perennial ,
Astragalus shortianus,37,Astragalus_shortianus,forb,unknown,native,perennial ,
Astragalus_shortianus,37,Astragalus_shortianus,forb,unknown,native,perennial ,
Astragalusshortianus,37,Astragalus_shortianus,forb,unknown,native,perennial ,
Oenotherasp.,38,Oenothera_sp. ,forb,unknown,unknown,unknown,
Astragalus_crassicarpus,40,Astragalus_crassicarpus,forb,unknown,native,perennial ,
Astragaluscrassicarpus,40,Astragalus_crassicarpus,forb,unknown,native,perennial ,
Astragulus.crassicarpus,40,Astragalus_crassicarpus,forb,unknown,native,perennial ,
Astragalusmissouriensis,41,Astragalus_missouriensis,forb,unknown,native,perennial ,
blob unknown,43,unknown,unknown,unknown,unknown,unknown,
BOCU,44,Bouteloua_curtipendula,graminoid,c4,native,perennial ,
Bouteloua_curtipendula,44,Bouteloua_curtipendula,graminoid,c4,native,perennial ,
Boutelouacurtipendula,44,Bouteloua_curtipendula,graminoid,c4,native,perennial ,
BODA2,45,Bouteloua_dactyloides,graminoid,c4,native,perennial ,
BODAI BUDA,45,Bouteloua_dactyloides,graminoid,c4,native,perennial ,
Boutelloa dactyloides,45,Bouteloua_dactyloides,graminoid,c4,native,perennial ,
Bouteloua dactyloides,45,Bouteloua_dactyloides,graminoid,c4,native,perennial ,
Bouteloua_dactlyoides,45,Bouteloua_dactyloides,graminoid,c4,native,perennial ,
Bouteloua_dactyloides,45,Bouteloua_dactyloides,graminoid,c4,native,perennial ,
Boutelouadactyloides,45,Bouteloua_dactyloides,graminoid,c4,native,perennial ,
Buchloedactyloides,45,Bouteloua_dactyloides,graminoid,c4,native,perennial ,
BOGR,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Bout gra,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
