"year","site","habitat","project","plot","subplot","uniqueID","species","unitAbund","scaleAbund","abundance"
"1982","cdr","0","1","C","8","cdr_0_1_C_8","Ambrosia coronopifolia","biomass_g_m2","m2",29.733
"1982","cdr","0","1","C","8","cdr_0_1_C_8","Artemisia ludoviciana","biomass_g_m2","m2",5.8
"1982","cdr","0","1","C","8","cdr_0_1_C_8","Aster azureus","biomass_g_m2","m2",6.6
"1982","cdr","0","1","C","8","cdr_0_1_C_8","Oxybaphus hirsutus","biomass_g_m2","m2",0.37
"1982","cdr","0","1","C","8","cdr_0_1_C_8","Poa pratensis","biomass_g_m2","m2",38.567
"1982","cdr","0","1","C","8","cdr_0_1_C_8","Rudbeckia serotina","biomass_g_m2","m2",0.19
"1982","cdr","0","1","C","8","cdr_0_1_C_8","Schizachyrium scoparium","biomass_g_m2","m2",96.767
"1982","cdr","0","1","C","8","cdr_0_1_C_8","Solidago nemoralis","biomass_g_m2","m2",5.2
"1982","cdr","0","1","C","8","cdr_0_1_C_8","Solidago rigida","biomass_g_m2","m2",64.867
"1982","cdr","0","1","C","18","cdr_0_1_C_18","Agropyron repens","biomass_g_m2","m2",0.413
"1982","cdr","0","1","C","18","cdr_0_1_C_18","Anemone cylindrica","biomass_g_m2","m2",0.173
"1982","cdr","0","1","C","18","cdr_0_1_C_18","Aristida basiramea","biomass_g_m2","m2",0.087
"1982","cdr","0","1","C","18","cdr_0_1_C_18","Artemisia ludoviciana","biomass_g_m2","m2",88.6
"1982","cdr","0","1","C","18","cdr_0_1_C_18","Aster azureus","biomass_g_m2","m2",0.337
"1982","cdr","0","1","C","18","cdr_0_1_C_18","Chenopodium leptophyllum","biomass_g_m2","m2",0.003
"1982","cdr","0","1","C","18","cdr_0_1_C_18","Erigeron canadensis","biomass_g_m2","m2",0.023
"1982","cdr","0","1","C","18","cdr_0_1_C_18","Lithospermum canescens","biomass_g_m2","m2",12.933
"1982","cdr","0","1","C","18","cdr_0_1_C_18","Oxybaphus hirsutus","biomass_g_m2","m2",0.05
