"","site","species","resp.ratio.site_D4","resp.ratio.site_D6","resp.ratio.site_PDfull","resp.ratio.site_PDfirst","resp.ratio.site_PDfinal","SE.RII_D4","SE.RII_D6","SE.RII_PDfull","SE.RII_PDfirst","SE.RII_PDfinal","persistence.site","mean.ctrl.cov","percrank","absrank","spatial_rarity","temporal_rarity"
"1","CHY","Allium_textile",-0.253012048192771,-0.253012048192771,-0.273972602739726,-0.278350515463917,-0.25,0.0200454324129532,0.0200454324129532,0.0111554753297721,0.0149983759953724,0.0353128296413502,0.8,0.43,0.753246753246753,59,0.246753246753247,0.2
"2","CHY","Antennaria_parvifolia",-0.818181818181818,-0.818181818181818,NA,NA,NA,0.0386955044398022,0.0386955044398022,NA,NA,NA,0.1,0.025,0.246753246753247,20,0.753246753246753,0.9
"3","CHY","Antennaria_rosea",0.217391304347826,0.217391304347826,0.00483091787439668,0.00970873786407764,-0.032258064516129,0.0830883323479352,0.0830883323479352,0.0465177887796067,0.119732690924927,0.0791774364810932,1,0.357499999999999,0.74025974025974,58,0.25974025974026,0
"4","CHY","Aristida_purpurea",-1,-1,NA,NA,NA,0,0,NA,NA,NA,0.1,0.00500000000000001,0.155844155844156,13,0.844155844155844,0.9
"5","CHY","Artemesia_dracunculus",0.0909090909090905,0.0909090909090905,-0.0476190476190469,-6.93889390390723e-17,-0.166666666666667,0.107426418187231,0.107426418187231,0.139011913140086,0.246835443037975,0.298362048757618,0.8,0.04,0.298701298701299,24,0.701298701298701,0.2
"6","CHY","Artemesia_frigida",-0.322233104799217,-0.322233104799217,-0.28686327077748,-0.319148936170213,-0.172413793103448,0.00258137900611619,0.00258137900611619,0.00508876111433814,0.00546024441360798,0.00987389056099827,1,5.6075,0.922077922077922,72,0.077922077922078,0
"7","CHY","Artemesia_ludoviciana",NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,0,0,4,1,1
"8","CHY","Astragalus_drummondii",-0.514018691588785,-0.514018691588785,-0.43030303030303,-0.619047619047619,-0.230769230769231,0.06968682301661,0.06968682301661,0.0232009656104314,0.0188862287741622,0.066050550082285,1,0.5025,0.779220779220779,61,0.220779220779221,0
"9","CHY","Astragalus_laxmanii",-0.268292682926829,-0.268292682926829,-0.0434782608695653,0,-0.250000000000001,0.0745796091542759,0.0745796091542759,0.0846390176446036,0.236708860759494,0.198155656645569,0.8,0.0974999999999999,0.493506493506494,39,0.506493506493507,0.2
"10","CHY","Astragalus_shortianus",0.225806451612903,0.225806451612903,-0.106719367588933,-0.159420289855072,-0.0630630630630632,0.0282184637008943,0.0282184637008943,0.0213062323892437,0.0390260234167678,0.0467928970468921,1,0.5475,0.792207792207792,62,0.207792207792208,0
"11","CHY","Bouteloua_dactyloides",-0.547169811320755,-0.547169811320755,-0.153846153846154,-0.0833333333333333,-0.0833333333333337,0.0417418558836548,0.0417418558836548,0.0397522608314848,0.095874050144554,0.0834941861032975,0.9,0.1875,0.662337662337662,52,0.337662337662338,0.1
"12","CHY","Bouteloua_gracilis",-0.238255033557047,-0.238255033557047,-0.159811193526635,-0.416387959866221,-0.0674486803519064,0.00237668723006136,0.00237668723006136,0.00333356494625896,0.00556589467768229,0.0166708019257099,1,16.7125,0.987012987012987,77,0.012987012987013,0
"13","CHY","Bouteloua_hirsuta",0.272727272727274,0.272727272727274,NA,NA,NA,0.0920627679342226,0.0920627679342226,NA,NA,NA,0.1,0.03,0.272727272727273,22,0.727272727272727,0.9
"14","CHY","Bromus_japonicus",NA,NA,1,1,1,NA,NA,0,0,0,0,0,0,4,1,1
"15","CHY","Bromus_tectorum",0.809523809523809,0.809523809523809,0.880681818181818,0.634408602150538,0.969111969111969,0.0163081362267236,0.0163081362267236,0.00656282703361286,0.0675546827319287,0.000421592135371246,0.6,0.0575000000000002,0.376623376623377,30,0.623376623376623,0.4
"16","CHY","Carex_eleocharis",0.0269192422731805,0.0269192422731805,0.0317912738434556,0.0422145328719723,0.0353334727158688,0.000830869225883358,0.000830869225883358,0.000963831094313996,0.00264897360570404,0.00172129660240105,1,22.995,1,78,0,0
"17","CHY","Carex_filifolia",1,1,-0.530434782608696,-0.530434782608695,NA,0,0,0.147022807175913,0.146178264212332,NA,0.1,0.220000000000001,0.675324675324675,53,0.324675324675325,0.9
"18","CHY","Chenopodium_sp.",1,1,0.418604651162791,0.538461538461539,0.366666666666667,0,0,0.00966630504870981,0.0244646257909454,0.0135480465697765,0.4,0.0625,0.402597402597403,32,0.597402597402597,0.6
"19","CHY","Circium_ochochrocentrum",0.674418604651163,0.674418604651163,-0.500000000000001,-0.5,NA,0.0281956365521864,0.0281956365521864,0.200769472361809,0.200158227848101,NA,0.3,0.0474999999999999,0.324675324675325,26,0.675324675324675,0.7
"20","CHY","Cirsium_undulatum",0.136363636363636,0.136363636363636,-0.0215827338129493,-0.107142857142857,-0.0153846153846156,0.0218245933027166,0.0218245933027166,0.0199945452678608,0.0303804284969607,0.0472020858752685,1,0.335,0.727272727272727,57,0.272727272727273,0
"21","CHY","Collomia_linearis",-0.499999999999999,-0.499999999999999,0.483870967741935,0.375,0.6,0.0925707547169811,0.0925707547169811,0.031713627524469,0.0682589374011077,0.0535763713080169,0.6,0.035,0.285714285714286,23,0.714285714285714,0.4
"22","CHY","Comandra_umbellatum",0.112540192926045,0.112540192926045,0.00487804878048738,-0.146067415730337,0.0970873786407768,0.00715768010270488,0.00715768010270488,0.0056127617702144,0.016377420287441,0.008140437491488,1,0.877500000000001,0.844155844155844,66,0.155844155844156,0
"23","CHY","Conyza_canadensis",-0.333333333333333,-0.333333333333333,-4.62592926927148e-16,-9.25185853854297e-17,NA,0.079724002802917,0.079724002802917,0.0951982132886649,0.0921237693389593,NA,0.3,0.0600000000000002,0.38961038961039,31,0.61038961038961,0.7
"24","CHY","Cymopterus_glomeratus",0.2,0.2,-0.333333333333333,-0.333333333333333,-0.333333333333333,0.0403803773584906,0.0403803773584906,0.0383398473850735,0.106127693563231,0.0590092201906548,0.4,0.08,0.441558441558442,35,0.558441558441559,0.6
"25","CHY","Cymopterus_montanus",NA,NA,0.10344827586207,0.363636363636363,-0.0555555555555557,NA,NA,0.0228768222369083,0.056515040561489,0.0311578752660042,0.2,0.065,0.415584415584416,33,0.584415584415584,0.8
"26","CHY","Delphinium_geyeri",1,1,1,NA,1,0,0,0,NA,0,0,0,0,4,1,1
"27","CHY","Descurainia_pinnata",-1,-1,1,NA,1,0,0,0,NA,0,0.1,0.00250000000000001,0.116883116883117,10,0.883116883116883,0.9
"28","CHY","Dieteria_canescens",0.647058823529411,0.647058823529411,-0.125,0.130434782608696,-0.777777777777778,0.0713237562593946,0.0713237562593946,0.0838426752905148,0.0914732819120297,0.0595154721320267,0.5,0.0524999999999998,0.337662337662338,27.5,0.662337662337662,0.5
"29","CHY","Draba_nemorosa",-1,-1,-0.666666666666667,NA,-0.666666666666666,0,0,0.0984862584527574,NA,0.0980621972183153,0.3,0.0225,0.220779220779221,18,0.779220779220779,0.7
"30","CHY","Draba_reptans",-0.739130434782609,-0.739130434782609,-0.684210526315789,-0.68421052631579,NA,0.0214101812846599,0.0214101812846599,0.0301986447920112,0.0293538088375549,NA,0.5,0.1425,0.597402597402597,47,0.402597402597403,0.5
"31","CHY","Echinocereus_Escobaria",0.121951219512195,0.121951219512195,0.0199999999999994,0.0769230769230769,-0.0212765957446808,0.0211268117702512,0.0211268117702512,0.0115895473366834,0.0204084617467654,0.0241513193541166,1,0.18,0.649350649350649,51,0.350649350649351,0
"32","CHY","Erigeron_pumilus",0.101639344262295,0.101639344262295,0.114457831325301,0.149228130360206,-0.135802469135803,0.0113066262899165,0.0113066262899165,0.0125635231526013,0.0131291434335545,0.0160870366227242,0.7,1.42,0.883116883116883,69,0.116883116883117,0.3
"33","CHY","Eriogonum_alatum",NA,NA,0.904761904761905,NA,0.904761904761905,NA,NA,0.0114516877144396,NA,0.0114136950933153,0.2,0.005,0.12987012987013,11,0.87012987012987,0.8
"34","CHY","Eriogonum_effusum",0.246753246753247,0.246753246753247,0.233333333333334,0.428571428571428,-0.0909090909090909,0.0519328837710749,0.0519328837710749,0.0581835070413797,0.105628749390051,0.259925525596145,1,0.1425,0.584415584415584,46,0.415584415584416,0
"35","CHY","Grindelia_squarrosa",-0.116279069767442,-0.116279069767442,-0.777777777777778,-0.777777777777778,NA,0.0840102390598858,0.0840102390598858,0.0336141919780277,0.0332768044389652,NA,0.5,0.1,0.506493506493506,40,0.493506493506494,0.5
"36","CHY","Gutierrezia_sarothrae",-0.11111111111111,-0.11111111111111,-1,-1,-1,0.0521472892516194,0.0521472892516194,0,0,0,0.6,0.0675000000000001,0.428571428571429,34,0.571428571428571,0.4
"37","CHY","Hesperostipa_comata",0.220397579948142,0.220397579948142,0.227934725390419,0.220815752461322,0.246205299717005,0.00261303801357795,0.00261303801357795,0.00313209249115734,0.00491606659361436,0.00441056800624825,1,9.56499999999999,0.948051948051948,74,0.051948051948052,0
"38","CHY","Heterotheca_villosa",-0.278143949380438,-0.278143949380438,-0.308714918759232,-0.305530371713509,-0.463087248322148,0.00326235297569465,0.00326235297569465,0.00687579170909607,0.00731383600354673,0.0220787436817875,1,8.60750000000001,0.935064935064935,73,0.064935064935065,0
"39","CHY","Koeleria_macrantha",-0.405433646812957,-0.405433646812957,-0.386224590487468,-0.495375128468654,-0.319909061383566,0.00414187637901007,0.00414187637901007,0.00302646552303355,0.00436516283824075,0.00457261944820277,1,12.33,0.961038961038961,75,0.038961038961039,0
"40","CHY","Lactuca_serriola",0.0555555555555559,0.0555555555555559,0.52,0.5,0.6,0.0187677219303316,0.0187677219303316,0.0346620397989949,0.0458069620253165,0.127027848101266,0.7,0.1,0.519480519480519,41,0.480519480519481,0.3
"41","CHY","Lappula_redowskii",0.05084745762712,0.05084745762712,0.71875,0.84,0.641025641025641,0.0154458191051447,0.0154458191051447,0.00946288132787352,0.011957209113924,0.0199456955562808,0.8,0.0949999999999999,0.48051948051948,38,0.519480519480519,0.2
"42","CHY","Lepidium_densiflorum",0.226890756302521,0.226890756302521,0.875,0.851851851851852,1,0.0139408654085796,0.0139408654085796,0.00731501747016333,0.00993525151427912,0,0.5,0.12,0.545454545454545,43,0.454545454545455,0.5
"43","CHY","Lesquerella_montana",0.00671140939597341,0.00671140939597341,0.0641025641025638,0.00366300366300358,0.19205298013245,0.00681966908409099,0.00681966908409099,0.00513356885472853,0.00990487838795755,0.00908133185801789,1,1.7225,0.896103896103896,70,0.103896103896104,0
"44","CHY","Leucocrinum_montanum",-0.199999999999999,-0.199999999999999,-0.414634146341464,-0.272727272727272,-0.517241379310345,0.0502140849444833,0.0502140849444833,0.0508956471100587,0.1699821638385,0.065122846363375,0.9,0.1525,0.623376623376623,49,0.376623376623377,0.1
