species,genus,FunctionalGroup,Duration,Photo,CorrectSpelling,Notes
Achillea_millefolium,achillea,forb,perennial,,,
Allionia_incarnata,allionia,forb,perennial,,,
Allium_macropetalum,allium,forb,perennial,,,
Allium_textile,allium,forb,perennial,,,
Amaranthus_albus,amaranthus,forb,annual,,,
Amaranthus_palmeri,amaranthus,forb,annual,,,
Amaranthus_sp. ,amaranthus,forb,annual,,,likely annual
Ambrosia_artemisiifolia,ambrosia,forb,annual,,,
Ambrosia_psilostachya,ambrosia,forb,perennial,,,
Androsace_occidentalis,androsace,forb,annual,,,
Antennaria_neglecta,antennaria,forb,perennial,,,
Antennaria_parvifolia,antennaria,forb,perennial,,,
Antennaria_rosea,antennaria,forb,perennial,,,
Aphanostephus_ramosissimus,aphanostephus,forb,annual,,,
Asclepias_asperula,asclepias,forb,perennial,,,
Asclepias_seedling,asclepias,forb,perennial,,,
Asclepias_sp.,asclepias,forb,perennial,,,
Asclepias_sullivantii,asclepias,forb,perennial,,,
Asclepias_tuberosa,asclepias,forb,perennial,,,
Asclepias_verticillata,asclepias,forb,perennial,,,
Asclepias_viridiflora,asclepias,forb,perennial,,,
Asclepias_viridis,asclepias,forb,perennial,,,
ASOX,asox,forb,unk,,,
Asclepias syriaca,asclepias,forb,perennial,,,
Aster_ericoides,aster,forb,perennial,,,
Aster_oblongifolius,aster,forb,perennial,,,
Astragalus_drummondii,astragalus,forb,perennial,,,
Astragalus_fluxuosus,astragalus,forb,perennial,,,
Astragalus_gracilis,astragalus,forb,perennial,,,
Astragalus_laxmanii,astragalus,forb,perennial,,,
Astragalus_lotiflorus,astragalus,forb,perennial,,,
Astragalus_mollissimus,astragalus,forb,perennial,,,
Astragalus_NA,astragalus,forb,perennial,,,
Astragalus_nuttallianus,astragalus,forb,perennial,,,
Astragalus_shortianus,astragalus,forb,perennial,,,
Astragalus_sp.,astragalus,forb,perennial,,,
Astragalus_unknown,astragalus,forb,perennial,,,
Astragulus_crassicarpus,astragulus,forb,perennial,,,
Bahia_absinthifolia,bahia,forb,perennial,,,
Bahia_dissecta,bahia,forb,perennial,,,
Baptisia_bracteata,baptisia,forb,perennial,,,
Boerhavia_spicata,boerhavia,forb,annual,,,
Chamaesyce_albomarginata,chamaesyce,forb,perennial,,,
Chamaesyce_lata,chamaesyce,forb,perennial,,,
Chamaesyce_revoluta,chamaesyce,forb,annual,,,
Chamaesyce_serpyllifolia,chamaesyce,forb,annual,,,
Chamaesyce_serrula,chamaesyce,forb,annual,,,
Chenopodium_incanum,chenopodium,forb,annual,,,
Chenopodium_sp.,chenopodium,forb,annual,,,
Circium_ochochrocentrum,circium,forb,perennial,,Cirsium_ochrocentrum,wrong spelling
Cirsium_altissimum,cirsium,forb,perennial,,,
Cirsium_sp.,cirsium,forb,perennial,,,
Cirsium_undulatum,cirsium,forb,perennial,,,
Collomia_linearis,collomia,forb,annual,,,
Conyza_canadensis,conyza,forb,annual,,,
Convolvulus_arvensis,convolvulus,forb,perennial,,,
Croton_sp.,croton,forb,unk,,,
Cryptantha_crassisepala,cryptantha,forb,annual,,,
Cryptantha_minima,cryptantha,forb,annual,,,
Cymopterus_acaulis,cymopterus,forb,perennial,,,
Cymopterus_glomeratus,cymopterus,forb,perennial,,,
Cymopterus_montanus,cymopterus,forb,perennial,,,
Delphinium_geyeri,delphinium,forb,perennial,,,
Delphinium_wootonii,delphinium,forb,perennial,,,
Descurainia_pinnata,descurainia,forb,perennial,,,
Desmodium_illinoense,desmodium,forb,perennial,,,
Dieteria_canescens,dieteria,forb,perennial,,,
Draba_nemorosa,draba,forb,annual,,,
Draba_reptans,draba,forb,annual,,,
Eriastrum_diffusum,eriastrum,forb,annual,,,
Erigeron_divergens,erigeron,forb,perennial,,,
Erigeron_pumilus,erigeron,forb,perennial,,,
Erigeron_strigosus,erigeron,forb,perennial,,,
Eriogonum_abertianum,eriogonum,forb,annual,,,
Eriogonum_rotundifolium,eriogonum,forb,annual,,,
Eryisimum_asperum,eryisimum,forb,perennial,,,
Euphorbia_exstipulata,euphorbia,forb,annual,,,
Euphorbia_marginata,euphorbia,forb,annual,,,
Euphorbia_sp.,euphorbia,forb,annual,,,
Euphorbiadavidii,euphorbiadavidii,forb,annual,,Euphorbia_davidii,needs underscore b/w names
Gilia_mexicana,gilia,forb,annual,,,
Glandularia_bipinnatifida,glandularia,forb,perennial,,,
Grindelia_squarrosa,grindelia,forb,perennial,,,
Hedeoma_hispida,hedeoma,forb,annual,,,
Helianthus_annuus,helianthus,forb,annual,,,
Ipomoea_costellata,ipomoea,forb,annual,,,
Ipomopsis_laxiflora,ipomopsis,forb,annual,,,
Ipomopsis_pumila,ipomopsis,forb,annual,,,
Kallstroemia_hirsutissima,kallstroemia,forb,annual,,,
Kallstroemia_parviflora,kallstroemia,forb,annual,,,
Kochia_scoparia,kochia,forb,annual,,,
Lactuca_serriola,lactuca,forb,annual,,,
Lappula_occidentalis,lappula,forb,annual,,,
Lappula_redowskii,lappula,forb,annual,,,
Lepidium_densiflorum,lepidium,forb,annual,,,
Lespedeza_capitata,lespedeza,forb,perennial,,,
Lespedeza_violacea,lespedeza,forb,perennial,,,
Lesquerella_fendleri,lesquerella,forb,perennial,,,
Lesquerella_montana,lesquerella,forb,perennial,,,
Leucocrinum_montanum,leucocrinum,forb,perennial,,,
Liatris_punctata,liatris,forb,perennial,,,
Linaria_dalmatica,linaria,forb,perennial,,,
Linum_puberulum,linum,forb,annual,,,
Linum_rigidum,linum,forb,perennial,,,
Linum_sulcatum,linum,forb,annual,,,
Lithospermum_incisum,lithospermum,forb,perennial,,,
Lotus_plebeius,lotus,forb,perennial,,,
Lygodesmia_juncea,lygodesmia,forb,perennial,,,
Machaeranthera_canescens,machaeranthera,forb,perennial,,,
Machaeranthera_gracilis,machaeranthera,forb,annual,,,
Machaeranthera_tanacetifolia,machaeranthera,forb,annual,,,
Malacothrix_fendleri,malacothrix,forb,annual,,,
Medicago_lupulina,medicago,forb,perennial,,,
Melilotus_sp.,melilotus,forb,unk,,,
Mentzelia_albicaulis,mentzelia,forb,annual,,,
Mertensia_lanceolata,mertensia,forb,perennial,,,
Musineon_divaricatum,musineon,forb,perennial,,,
Nama_hispidum,nama,forb,annual,,,
Oenothera_albicaulis,oenothera,forb,annual,,,
Oenothera_coronopifolia,oenothera,forb,perennial,,,
Oenothera_sp.,oenothera,forb,unk,,,
Orobanche_sp.,orobanche,forb,perennial,,,
Oxalis_stricta,oxalis,forb,perennial,,,
Oxalis_violacea,oxalis,forb,perennial,,,
Oxytropis_lambertii,oxytropis,forb,perennial,,,
Oxytropis_sericea,oxytropis,forb,perennial,,,
Pectis_angustifolia,pectis,forb,annual,,,
Penstemon_albidus,penstemon,forb,perennial,,,
Phacelia_crenulata,phacelia,forb,annual,,,
Phlox_hoodii,phlox,forb,perennial,,,
Physalis_pumila,physalis,forb,perennial,,,
Plantago_patagonica,plantago,forb,annual,,,
Plantago_rhodosperma,plantago,forb,annual,,,
Polygala_verticillata,polygala,forb,annual,,,
Portulaca_oleracea,portulaca,forb,annual,,,
Potentilla_pensylvanica,potentilla,forb,perennial,,,
Psoralea_cuspidata,psoralea,forb,perennial,,,
Psoralea_esculenta,psoralea,forb,perennial,,,
Psoralea_tenuiflora,psoralea,forb,perennial,,,
Ratibida_columnifera,ratibida,forb,perennial,,,
Ruellia_humilis,ruellia,forb,perennial,,,
Salsola_tragus,salsola,forb,annual,,,
Salvia_azurea,salvia,forb,perennial,,,
Schrankia_nutallii,schrankia,forb,perennial,,,
Scorzonera_laciniata,scorzonera,forb,perennial,,,
Senecio_plattensis,senecio,forb,perennial,,,
Silene_antirrhina,silene,forb,annual,,,
Silene_sp.,silene,forb,unk,,,
Sisymbrium_altissimum,sisymbrium,forb,annual,,,
Sisynchrium_campestre,sisynchrium,forb,perennial,,,
Solanum_rostratum,solanum,forb,annual,,,
Solanum_triflorum,solanum,forb,annual,,,
Solidago_canadensis,solidago,forb,perennial,,,
Solidago_missouriensis,solidago,forb,perennial,,,
Sonchus_asper,sonchus,forb,annual,,,
Sphaeralcea_NA,sphaeralcea,forb,perennial,,,
Taraxacum_officinale,taraxacum,forb,perennial,,,
Tetraneuris_acaulis,tetraneuris,forb,perennial,,,
Teucrium_canadense,teucrium,forb,perennial,,,
Theleperma_filifolium,theleperma,forb,annual/perennial,,,
Thelesperma_megapotamicum,thelesperma,forb,perennial,,,
Tidestromia_lanuginosa,tidestromia,forb,annual,,,
Townsendia_annua,townsendia,forb,annual,,,
Townsendia_grandiflora,townsendia,forb,perennial,,,
Tradescantia_bracteata,tradescantia,forb,perennial,,,
Tradescantia_occidentalis,tradescantia,forb,perennial,,,
Tragia_racemosa,tragia,forb,perennial,,,
Tragopogon_dubius,tragopogon,forb,annual,,,
Triodanis_sp.,triodanis,forb,annual,,,
unk_mustard_unknown,unk,forb,unk,,,
Verbena_stricta,verbena,forb,annual/perennial,,,
Vernonia_baldwinii,vernonia,forb,perennial,,,
Vicia_americana,vicia,forb,perennial,,,
Viola_rafinesquii,viola,forb,annual,,,
Andropogon_gerardii,andropogon,grass,perennial,c4,,
Andropogon_ternarius,andropogon,grass,perennial,c4,,
Aristida_adscensionis,aristida,grass,annual,c4,,
Aristida_purpurea,aristida,grass,perennial,c4,,
Bouteloua_barbata,bouteloua,grass,annual,c4,,
Bouteloua_curtipendula,bouteloua,grass,perennial,c4,,
Bouteloua_dactyloides,bouteloua,grass,perennial,c4,,
Bouteloua_eriopoda,bouteloua,grass,perennial,c4,,
Bouteloua_gracilis,bouteloua,grass,perennial,c4,,
Bouteloua_hirsuta,bouteloua,grass,perennial,c4,,
Bromus_japonicus,bromus,grass,annual,c3,,
Bromus_tectorum,bromus,grass,annual,c3,,
Carex_brevior,carex,grass,perennial,c3,,
Carex_eleocharis,carex,grass,perennial,c3,,
Carex_filifolia,carex,grass,perennial,c3,,
Carex_gravida,carex,grass,perennial,c3,,
Carex_heliophyla,carex,grass,perennial,c3,,
Carex_meadii,carex,grass,perennial,c3,,
Chloris_sp.,chloris,grass,unk,c4,,
Cyperus_acuminatus,cyperus,grass,perennial,c3,,
Cyperus_lupulinus,cyperus,grass,perennial,c4,,
Dasyochloa_pulchella,dasyochloa,grass,perennial,c4,,
Dicanthelium_acuminatum,dicanthelium,grass,perennial,,,
Dicanthelium_oligosanthes,dicanthelium,grass,perennial,,,
Eleocharis_sp.,eleocharis,grass,perennial,,,rush (graminoid)
Elymus_elymoides,elymus,grass,perennial,c3,,
Enneapogon_desvauxii,enneapogon,grass,perennial,c4,,
Eragrostis_spectabilis,eragrostis,grass,perennial,,,
Festuca_unknown,festuca,grass,perennial,c3,,
Hesperostipa_comata,hesperostipa,grass,perennial,,,
Hordeum_pusilum,hordeum,grass,annual,c3,,
Juncus_interior,juncus,grass,perennial,,,
Koeleria_macrantha,koeleria,grass,perennial,c3,,
Muhlenbergia_arenicola,muhlenbergia,grass,perennial,c4,,
Muhlenbergia_torreyi,muhlenbergia,grass,perennial,c4,,
Munroa_squarrosa,munroa,grass,annual,c4,,
Nassella_viridula,nassella,grass,perennial,c3,,
Panicum_capillare,panicum,grass,annual,,,
panicum_unknown,panicum,grass,unk,,,
Panicum_virgatum,panicum,grass,perennial,,,
Pascopyrum_smithii,pascopyrum,grass,perennial,,,
Pleuraphis_jamesii,pleuraphis,grass,perennial,,,
Poa_pratensis,poa,grass,perennial,c3,,
Schedonnardus_paniculatus,schedonnardus,grass,perennial,c4,,
Schizachyrium_scoparium,schizachyrium,grass,perennial,c4,,
Scleropogon_brevifolius,scleropogon,grass,perennial,c4,,
Sorghastrum_nutans,sorghastrum,grass,perennial,c4,,
Sporobolus_asper,sporobolus,grass,perennial,,,
Sporobolus_contractus,sporobolus,grass,perennial,,,
Sporobolus_cryptandrus,sporobolus,grass,perennial,,,
Sporobolus_flexuosus,sporobolus,grass,perennial,,,
Sporobolus_heterolepis,sporobolus,grass,perennial,,,
Sporobolus_NA,sporobolus,grass,perennial,,,
Sporobolus_sp.,sporobolus,grass,perennial,,,
Tragus_racemosus,tragus,grass,annual,c4,,
Vulpia_octoflora,vulpia,grass,annual,c3,,
NA_NA,na,NA,unk,,,
Paronychia_sp.,paronychia,NA,unk,,,
Amorpha_canescens,amorpha,shrub,perennial,,,
Artemesia_dracunculus,artemesia,shrub,perennial,,Artemisia_dracunculus,also listed as forb; wrong spelling
Artemesia_frigida,artemesia,shrub,perennial,,Artemisia_frigida,wrong spelling
Artemesia_ludoviciana,artemesia,shrub,perennial,,Artemisia_ludoviciana,also listed as forb
Asclepias_stenophylla,asclepias,shrub,perennial,,,also listed as forb
Astragalus_missouriensis,astragalus,shrub,perennial,,,
Atriplex_canescens,atriplex,shrub,perennial,,,
Calylophus_serrulatus,calylophus,shrub,perennial,,,also listed as forb
Castilleja_purpurea,castilleja,shrub,perennial,,,also listed as forb
Chaetopappa_ericoides,chaetopappa,shrub,perennial,,,also listed as forb
Chamaesaracha_coronopus,chamaesaracha,shrub,perennial,,,also listed as forb
Comandra_umbellatum,comandra,shrub,perennial,,,also listed as forb; wrong spelling
Cylindropuntia_imbricata,cylindropuntia,shrub,perennial,,,
Dalea_candida,dalea,shrub,perennial,,,also listed as forb
Dalea_purpurea,dalea,shrub,perennial,,,also listed as forb
Echinocereus_Escobaria,echinocereus,shrub,perennial,,,
Echinocereus_fendleri,echinocereus,shrub,perennial,,,
Ecinomastus_intertextus,ecinomastus,shrub,perennial,,,
Ericameria_nauseosa,ericameria,shrub,perennial,,,
Eriogonum_alatum,eriogonum,shrub,perennial,,,also listed as forb
Eriogonum_effusum,eriogonum,shrub,perennial,,,
Erysimum_capitatum,erysimum,shrub,perennial,,,
Escobaria_vivipara,escobaria,shrub,perennial,,,
Evolvulus_nuttalliana,evolvulus,shrub,perennial,,Evolvulus_nuttallianus,spelled wrong
Gaillardia_pinnatifida,gaillardia,shrub,perennial,,,also listed as forb
Gaura_coccinea,gaura,shrub,perennial,,,also listed as forb
Grusonia_clavata,grusonia,shrub,perennial,,,
Gutierrezia_sarothrae,gutierrezia,shrub,perennial,,,
Gutierrezia_sphaerocephala,gutierrezia,shrub,perennial,,,
Happlopappus_filiosus,happlopappus,shrub,perennial,,,
Heterotheca_villosa,heterotheca,shrub,perennial,,,also listed as forb
Hoffmannseggia_drepanocarpa,hoffmannseggia,shrub,perennial,,,also listed as forb
Hymenopappus_filifolius,hymenopappus,shrub,perennial,,,also listed as forb
Krascheninnikovia_lanata,krascheninnikovia,shrub,perennial,,,
Kuhnia_eupatoroides,kuhnia,shrub,perennial,,,also listed as forb
Larrea_tridentata,larrea,shrub,perennial,,,
Machaeranthera_pinnatifida,machaeranthera,shrub,perennial,,,also listed as forb
Melampodium_leucanthum,melampodium,shrub,perennial,,,also listed as forb
Mirabilis_linearis,mirabilis,shrub,perennial,,,also listed as forb
Oenothera_caespitosa,oenothera,shrub,perennial,,,also listed as forb
Oenothera_speciosa,oenothera,shrub,perennial,,,also listed as forb
Oenothera_suffrutescens,oenothera,shrub,perennial,,,
Opuntia_macrocenta,opuntia,shrub,perennial,,,
Opuntia_phaeacantha,opuntia,shrub,perennial,,,
Opuntia_polycantha,opuntia,shrub,perennial,,,
Penstemon_angustifolius,penstemon,shrub,perennial,,,also listed as forb
Picradeniopsis_oppositifolia,picradeniopsis,shrub,perennial,,,also listed as forb
Psilostrophe_tagetina,psilostrophe,shrub,perennial,,,
Rhus_glabra,rhus,shrub,perennial,,,
Sclerocactus_papyracanthus,sclerocactus,shrub,perennial,,,
Selinocarpus_diffusus,selinocarpus,shrub,perennial,,,
Senecio_flaccidus,senecio,shrub,perennial,,,also listed as forb
Senna_bauhinioides,senna,shrub,perennial,,,also listed as forb
Solanum_elaeagnifolium,solanum,shrub,perennial,,,also listed as forb
Sphaeralcea_coccinea,sphaeralcea,shrub,perennial,,,also listed as forb
Sphaeralcea_hastulata,sphaeralcea,shrub,perennial,,,also listed as forb
Sphaeralcea_polychroma,sphaeralcea,shrub,perennial,,,also listed as forb
Sphaeralcea_wrightii,sphaeralcea,shrub,perennial,,,also listed as forb
Stenaria_nigricans,stenaria,shrub,perennial,,,also listed as forb
Stephanomeria_pauciflora,stephanomeria,shrub,perennial,,,also listed as forb
Stephanomeria_runcinata,stephanomeria,shrub,perennial,,,also listed as forb
Talinum_parviflorum,talinum,shrub,perennial,,,
Yucca_glauca,yucca,shrub,perennial,,,
Zinnia_grandiflora,zinnia,shrub,perennial,,,
Ulmus_americana,ulmus,tree,perennial,,,
Ulmus_sp.,ulmus,tree,perennial,,,
