Site,Date,Month,Day,Year,ambient_precip
SGS,4/1/2014,4,1,2014,0
SGS,4/2/2014,4,2,2014,0
SGS,4/3/2014,4,3,2014,0
SGS,4/4/2014,4,4,2014,0
SGS,4/5/2014,4,5,2014,0
SGS,4/6/2014,4,6,2014,0
SGS,4/7/2014,4,7,2014,0
SGS,4/8/2014,4,8,2014,0
SGS,4/9/2014,4,9,2014,0
SGS,4/10/2014,4,10,2014,0
SGS,4/11/2014,4,11,2014,0
SGS,4/12/2014,4,12,2014,0
SGS,4/13/2014,4,13,2014,1.225
SGS,4/14/2014,4,14,2014,0
SGS,4/15/2014,4,15,2014,0
SGS,4/16/2014,4,16,2014,0
SGS,4/17/2014,4,17,2014,0
SGS,4/18/2014,4,18,2014,0
SGS,4/19/2014,4,19,2014,0
SGS,4/20/2014,4,20,2014,0
SGS,4/21/2014,4,21,2014,0
SGS,4/22/2014,4,22,2014,0
SGS,4/23/2014,4,23,2014,0
SGS,4/24/2014,4,24,2014,0
SGS,4/25/2014,4,25,2014,0
SGS,4/26/2014,4,26,2014,0
SGS,4/27/2014,4,27,2014,0.735
SGS,4/28/2014,4,28,2014,0
SGS,4/29/2014,4,29,2014,1.225
SGS,4/30/2014,4,30,2014,0
SGS,5/1/2014,5,1,2014,0
SGS,5/2/2014,5,2,2014,0
SGS,5/3/2014,5,3,2014,0
SGS,5/4/2014,5,4,2014,0
SGS,5/5/2014,5,5,2014,0
SGS,5/6/2014,5,6,2014,1.47
SGS,5/7/2014,5,7,2014,8.33
SGS,5/8/2014,5,8,2014,3.92
SGS,5/9/2014,5,9,2014,2.205
SGS,5/10/2014,5,10,2014,1.225
SGS,5/11/2014,5,11,2014,14.7
SGS,5/12/2014,5,12,2014,0
SGS,5/13/2014,5,13,2014,0
SGS,5/14/2014,5,14,2014,0
SGS,5/15/2014,5,15,2014,0
SGS,5/16/2014,5,16,2014,0
SGS,5/17/2014,5,17,2014,0
SGS,5/18/2014,5,18,2014,0
SGS,5/19/2014,5,19,2014,0
SGS,5/20/2014,5,20,2014,0
SGS,5/21/2014,5,21,2014,0
SGS,5/22/2014,5,22,2014,0
SGS,5/23/2014,5,23,2014,2.695
SGS,5/24/2014,5,24,2014,1.96
SGS,5/25/2014,5,25,2014,6.86
SGS,5/26/2014,5,26,2014,3.185
SGS,5/27/2014,5,27,2014,0
SGS,5/28/2014,5,28,2014,0
SGS,5/29/2014,5,29,2014,0
SGS,5/30/2014,5,30,2014,5.39
SGS,5/31/2014,5,31,2014,17.395
SGS,6/1/2014,6,1,2014,0
SGS,6/2/2014,6,2,2014,0
SGS,6/3/2014,6,3,2014,0
SGS,6/4/2014,6,4,2014,0
SGS,6/5/2014,6,5,2014,0
SGS,6/6/2014,6,6,2014,0
SGS,6/7/2014,6,7,2014,0
SGS,6/8/2014,6,8,2014,3.92
SGS,6/9/2014,6,9,2014,0
SGS,6/10/2014,6,10,2014,1.47
SGS,6/11/2014,6,11,2014,2.205
SGS,6/12/2014,6,12,2014,0
SGS,6/13/2014,6,13,2014,0
SGS,6/14/2014,6,14,2014,0
SGS,6/15/2014,6,15,2014,0
SGS,6/16/2014,6,16,2014,0
SGS,6/17/2014,6,17,2014,0
SGS,6/18/2014,6,18,2014,7.595
SGS,6/19/2014,6,19,2014,0
SGS,6/20/2014,6,20,2014,0
SGS,6/21/2014,6,21,2014,0
SGS,6/22/2014,6,22,2014,12.495
SGS,6/23/2014,6,23,2014,34.3
SGS,6/24/2014,6,24,2014,6.35
SGS,6/25/2014,6,25,2014,0
SGS,6/26/2014,6,26,2014,0
SGS,6/27/2014,6,27,2014,1.778
SGS,6/28/2014,6,28,2014,0
SGS,6/29/2014,6,29,2014,0
SGS,6/30/2014,6,30,2014,0
SGS,7/1/2014,7,1,2014,0
SGS,7/2/2014,7,2,2014,0
SGS,7/3/2014,7,3,2014,0
SGS,7/4/2014,7,4,2014,0
SGS,7/5/2014,7,5,2014,0
SGS,7/6/2014,7,6,2014,0
SGS,7/7/2014,7,7,2014,0
SGS,7/8/2014,7,8,2014,0
SGS,7/9/2014,7,9,2014,0
SGS,7/10/2014,7,10,2014,0
SGS,7/11/2014,7,11,2014,0.508
SGS,7/12/2014,7,12,2014,0
SGS,7/13/2014,7,13,2014,1.016
SGS,7/14/2014,7,14,2014,0
SGS,7/15/2014,7,15,2014,4.572
SGS,7/16/2014,7,16,2014,9.398
SGS,7/17/2014,7,17,2014,0
SGS,7/18/2014,7,18,2014,0.762
SGS,7/19/2014,7,19,2014,0
SGS,7/20/2014,7,20,2014,0
SGS,7/21/2014,7,21,2014,0
SGS,7/22/2014,7,22,2014,0
SGS,7/23/2014,7,23,2014,0
SGS,7/24/2014,7,24,2014,0
SGS,7/25/2014,7,25,2014,0
SGS,7/26/2014,7,26,2014,0
SGS,7/27/2014,7,27,2014,0
SGS,7/28/2014,7,28,2014,0
SGS,7/29/2014,7,29,2014,18.288
SGS,7/30/2014,7,30,2014,13.97
SGS,7/31/2014,7,31,2014,0
SGS,8/1/2014,8,1,2014,0
SGS,8/2/2014,8,2,2014,0
SGS,8/3/2014,8,3,2014,0
SGS,8/4/2014,8,4,2014,0
SGS,8/5/2014,8,5,2014,0
SGS,8/6/2014,8,6,2014,1.016
SGS,8/7/2014,8,7,2014,0
SGS,8/8/2014,8,8,2014,0
SGS,8/9/2014,8,9,2014,0
SGS,8/10/2014,8,10,2014,0
SGS,8/11/2014,8,11,2014,0
SGS,8/12/2014,8,12,2014,0
SGS,8/13/2014,8,13,2014,0
SGS,8/14/2014,8,14,2014,5.334
SGS,8/15/2014,8,15,2014,0
SGS,8/16/2014,8,16,2014,0
SGS,8/17/2014,8,17,2014,0
SGS,8/18/2014,8,18,2014,10.924
SGS,8/19/2014,8,19,2014,0
SGS,8/20/2014,8,20,2014,0
SGS,8/21/2014,8,21,2014,0
SGS,8/22/2014,8,22,2014,1.778
SGS,8/23/2014,8,23,2014,2.286
SGS,8/24/2014,8,24,2014,0
SGS,8/25/2014,8,25,2014,0
SGS,8/26/2014,8,26,2014,0
SGS,8/27/2014,8,27,2014,0
SGS,8/28/2014,8,28,2014,0
SGS,8/29/2014,8,29,2014,1.778
SGS,8/30/2014,8,30,2014,0.508
SGS,8/31/2014,8,31,2014,2.032
SGS,9/1/2014,9,1,2014,0
SGS,9/2/2014,9,2,2014,0
SGS,9/3/2014,9,3,2014,0
SGS,9/4/2014,9,4,2014,0
SGS,9/5/2014,9,5,2014,0.508
SGS,9/6/2014,9,6,2014,0
SGS,9/7/2014,9,7,2014,0
SGS,9/8/2014,9,8,2014,0
SGS,9/9/2014,9,9,2014,1.778
SGS,9/10/2014,9,10,2014,0.762
SGS,9/11/2014,9,11,2014,0.508
SGS,9/12/2014,9,12,2014,0
SGS,9/13/2014,9,13,2014,0
SGS,9/14/2014,9,14,2014,0
SGS,9/15/2014,9,15,2014,0
SGS,4/1/2015,4,1,2015,0
SGS,4/2/2015,4,2,2015,2.032
SGS,4/3/2015,4,3,2015,0
SGS,4/4/2015,4,4,2015,0
SGS,4/5/2015,4,5,2015,0
SGS,4/6/2015,4,6,2015,0
SGS,4/7/2015,4,7,2015,0
SGS,4/8/2015,4,8,2015,0
SGS,4/9/2015,4,9,2015,1.27
SGS,4/10/2015,4,10,2015,0
