Species,Site,Plot,Block,Trt,Subplot,Year,max.cover
Achillea_millefolium,HYS,25,9,int,D,2021,0
Achillea_millefolium,KNZ,1,1,int,B,2019,6
Achillea_millefolium,KNZ,1,1,int,B,2020,5
Achillea_millefolium,KNZ,1,1,int,B,2021,3
Achillea_millefolium,HYS,3,1,con,D,2017,0
Achillea_millefolium,HYS,3,1,con,D,2015,0
Achillea_millefolium,HYS,6,2,con,B,2015,0
Achillea_millefolium,KNZ,2,1,chr,D,2013,0
Achillea_millefolium,KNZ,2,1,chr,D,2014,0
Achillea_millefolium,HYS,3,1,con,D,2021,0
Achillea_millefolium,HYS,25,9,int,A,2021,1
Achillea_millefolium,KNZ,2,1,chr,D,2016,0
Achillea_millefolium,KNZ,1,1,int,D,2020,0
Achillea_millefolium,KNZ,2,1,chr,D,2020,0
Achillea_millefolium,HYS,3,1,con,A,2012,1
Achillea_millefolium,HYS,1,1,chr,A,2021,6
Achillea_millefolium,HYS,3,1,con,D,2016,0
Achillea_millefolium,KNZ,2,1,chr,A,2019,3
Achillea_millefolium,HYS,6,2,con,D,2015,2
Achillea_millefolium,HYS,15,5,con,C,2021,1
Achillea_millefolium,HYS,6,2,con,D,2016,0
Achillea_millefolium,HYS,3,1,con,A,2014,2
Achillea_millefolium,HYS,3,1,con,A,2020,0
Achillea_millefolium,HYS,16,6,int,A,2018,1
Achillea_millefolium,HYS,16,6,int,A,2019,0
Achillea_millefolium,HYS,1,1,chr,C,2013,1
Achillea_millefolium,HYS,3,1,con,B,2020,1
Achillea_millefolium,HYS,3,1,con,C,2017,0
Achillea_millefolium,HYS,3,1,con,C,2016,0
Achillea_millefolium,HYS,6,2,con,A,2018,0
Achillea_millefolium,HYS,5,2,chr,A,2017,0
Achillea_millefolium,HYS,5,2,chr,B,2014,0
Achillea_millefolium,KNZ,2,1,chr,A,2020,3
Achillea_millefolium,KNZ,2,1,chr,B,2014,0
Achillea_millefolium,KNZ,2,1,chr,B,2015,0
Achillea_millefolium,KNZ,2,1,chr,B,2016,0
Achillea_millefolium,KNZ,2,1,chr,B,2018,0
Achillea_millefolium,HYS,3,1,con,C,2014,0
Achillea_millefolium,HYS,3,1,con,C,2015,0
Achillea_millefolium,HYS,3,1,con,C,2012,0
Achillea_millefolium,KNZ,2,1,chr,C,2013,2
Achillea_millefolium,HYS,27,9,chr,C,2017,1
Achillea_millefolium,KNZ,25,9,int,C,2019,0
Achillea_millefolium,HYS,23,8,chr,B,2021,0
Achillea_millefolium,HYS,6,2,con,D,2013,2
Achillea_millefolium,HYS,6,2,con,D,2014,1
Achillea_millefolium,HYS,13,5,chr,B,2014,0
Achillea_millefolium,KNZ,2,1,chr,C,2019,0
Achillea_millefolium,HYS,15,5,con,D,2021,0
Achillea_millefolium,KNZ,2,1,chr,D,2015,0
Achillea_millefolium,HYS,1,1,chr,A,2014,1
Achillea_millefolium,HYS,13,5,chr,C,2021,2
Achillea_millefolium,KNZ,2,1,chr,D,2018,0
Achillea_millefolium,HYS,1,1,chr,A,2017,1
Achillea_millefolium,HYS,1,1,chr,A,2019,1
Achillea_millefolium,KNZ,1,1,int,D,2013,0
Achillea_millefolium,HYS,27,9,chr,D,2017,0
Achillea_millefolium,HYS,27,9,chr,D,2020,0
Achillea_millefolium,HYS,5,2,chr,A,2016,0
Achillea_millefolium,HYS,5,2,chr,C,2014,1
Achillea_millefolium,HYS,1,1,chr,B,2016,12
Achillea_millefolium,HYS,6,2,con,B,2016,0
Achillea_millefolium,HYS,3,1,con,B,2014,3
Achillea_millefolium,HYS,13,5,chr,C,2019,0
Achillea_millefolium,HYS,16,6,int,B,2020,15
Achillea_millefolium,HYS,16,6,int,B,2018,0
Achillea_millefolium,HYS,1,1,chr,C,2014,1
Achillea_millefolium,HYS,3,1,con,C,2013,0
Achillea_millefolium,HYS,27,9,chr,C,2016,0
Achillea_millefolium,HYS,1,1,chr,C,2017,3
Achillea_millefolium,HYS,1,1,chr,C,2019,0
Achillea_millefolium,HYS,6,2,con,C,2017,1
Achillea_millefolium,HYS,5,2,chr,B,2012,0
Achillea_millefolium,HYS,3,1,con,D,2013,0
Achillea_millefolium,HYS,3,1,con,A,2021,0
Achillea_millefolium,HYS,3,1,con,D,2012,0
Achillea_millefolium,HYS,4,2,int,A,2020,0
Achillea_millefolium,HYS,4,2,int,B,2017,0
Achillea_millefolium,HYS,4,2,int,B,2019,0
Achillea_millefolium,HYS,4,2,int,B,2020,0
Achillea_millefolium,HYS,27,9,chr,B,2021,0
Achillea_millefolium,HYS,4,2,int,C,2019,0
Achillea_millefolium,HYS,27,9,chr,A,2017,0
Achillea_millefolium,KNZ,2,1,chr,A,2016,0
Achillea_millefolium,HYS,13,5,chr,A,2016,1
Achillea_millefolium,HYS,23,8,chr,D,2021,1
Achillea_millefolium,HYS,5,2,chr,A,2014,0
Achillea_millefolium,KNZ,25,9,int,A,2020,0
Achillea_millefolium,HYS,4,2,int,D,2019,1
Achillea_millefolium,HYS,3,1,con,B,2013,5
Achillea_millefolium,KNZ,25,9,int,B,2019,0
Achillea_millefolium,KNZ,25,9,int,B,2020,1
Achillea_millefolium,HYS,13,5,chr,D,2014,2
Achillea_millefolium,KNZ,2,1,chr,D,2019,0
Achillea_millefolium,KNZ,1,1,int,C,2021,5
Achillea_millefolium,KNZ,2,1,chr,D,2021,0
Achillea_millefolium,HYS,5,2,chr,A,2015,0
Achillea_millefolium,KNZ,1,1,int,D,2015,0
Achillea_millefolium,HYS,3,1,con,C,2020,0
Achillea_millefolium,KNZ,1,1,int,D,2016,1
Achillea_millefolium,HYS,5,2,chr,B,2013,0
Achillea_millefolium,KNZ,1,1,int,D,2018,0
Achillea_millefolium,KNZ,1,1,int,D,2019,0
Achillea_millefolium,HYS,3,1,con,A,2017,0
Achillea_millefolium,HYS,5,2,chr,D,2016,0
Achillea_millefolium,HYS,16,6,int,B,2019,0
Achillea_millefolium,HYS,16,6,int,A,2020,20
Achillea_millefolium,HYS,16,6,int,D,2020,3
Achillea_millefolium,HYS,13,5,chr,B,2019,1
Achillea_millefolium,KNZ,2,1,chr,A,2015,1
Achillea_millefolium,KNZ,1,1,int,A,2015,0
Achillea_millefolium,HYS,17,6,con,A,2021,0
Achillea_millefolium,HYS,5,2,chr,A,2012,0
Achillea_millefolium,KNZ,1,1,int,A,2018,0
Achillea_millefolium,KNZ,1,1,int,A,2019,0
Achillea_millefolium,KNZ,2,1,chr,A,2014,1
Achillea_millefolium,HYS,17,6,con,D,2021,1
Achillea_millefolium,HYS,13,5,chr,D,2019,0
Achillea_millefolium,HYS,6,2,con,D,2017,1
Achillea_millefolium,HYS,6,2,con,B,2018,0
Achillea_millefolium,HYS,6,2,con,C,2012,4
Achillea_millefolium,HYS,27,9,chr,B,2016,1
Achillea_millefolium,HYS,27,9,chr,A,2021,0
Achillea_millefolium,KNZ,2,1,chr,C,2014,1
Achillea_millefolium,HYS,6,2,con,C,2015,1
Achillea_millefolium,HYS,4,2,int,A,2019,0
Achillea_millefolium,HYS,13,5,chr,A,2021,10
Achillea_millefolium,HYS,4,2,int,D,2020,2
Achillea_millefolium,HYS,13,5,chr,B,2021,3
Achillea_millefolium,HYS,1,1,chr,A,2012,1
Achillea_millefolium,KNZ,2,1,chr,C,2021,1
Achillea_millefolium,KNZ,25,9,int,D,2021,0
Achillea_millefolium,HYS,1,1,chr,A,2015,1
Achillea_millefolium,HYS,1,1,chr,A,2016,17
Achillea_millefolium,KNZ,25,9,int,C,2020,0
Achillea_millefolium,HYS,6,2,con,A,2014,3
Achillea_millefolium,KNZ,1,1,int,A,2013,1
Achillea_millefolium,HYS,15,5,con,A,2021,0
Achillea_millefolium,HYS,18,6,chr,D,2021,2
Achillea_millefolium,HYS,28,10,chr,B,2021,0
Achillea_millefolium,HYS,5,2,chr,B,2017,0
Achillea_millefolium,HYS,5,2,chr,C,2012,2
Achillea_millefolium,HYS,1,1,chr,B,2017,2
Achillea_millefolium,HYS,1,1,chr,B,2019,0
Achillea_millefolium,HYS,1,1,chr,B,2021,12
Achillea_millefolium,HYS,16,6,int,D,2018,0
Achillea_millefolium,HYS,16,6,int,C,2018,0
Achillea_millefolium,HYS,16,6,int,C,2019,14
Achillea_millefolium,KNZ,2,1,chr,B,2021,0
Achillea_millefolium,HYS,6,2,con,A,2015,1
Achillea_millefolium,HYS,6,2,con,A,2017,0
Achillea_millefolium,HYS,3,1,con,A,2013,1
Achillea_millefolium,HYS,17,6,con,B,2021,0
Achillea_millefolium,KNZ,2,1,chr,B,2013,2
Achillea_millefolium,HYS,1,1,chr,C,2021,0
Achillea_millefolium,HYS,27,9,chr,D,2016,0
Achillea_millefolium,KNZ,1,1,int,A,2020,0
Achillea_millefolium,HYS,17,6,con,C,2021,0
Achillea_millefolium,KNZ,2,1,chr,B,2019,1
Achillea_millefolium,KNZ,2,1,chr,B,2020,0
