Species,Spcode 
Achillea_millefolium,2
Allium_textile,3
Amaranthus_sp. ,4
Ambrosia_psilostachya,5
Amorpha_canescens,6
Andropogon_gerardii,7
Andropogon_ternarius,9
Androsace_occidentalis,10
Antennaria_neglecta,11
Antennaria_rosea,12
Baptisia_bracteata,13
Aristida_purpurea,14
Artemesia_ludoviciana,15
Artemesia_frigida,16
Artemesia_dracunculus,17
Asclepias_seedling,18
Asclepias_stenophylla,19
Asclepias_sullivantii,20
Asclepias_verticillata,22
Asclepias_viridiflora,23
Asclepias_viridis,24
Asclepias_asperula,25
Asclepias_sp.,26
Asclepias_tuberosa,27
Aster_ericoides,28
Aster_oblongifolius,29
Astragalus_drummondii,31
Astragalus_fluxuosus,32
Astragalus_gracilis,33
Astragalus_laxmanii,34
Astragalus_lotiflorus,35
Astragalus_mollissimus,36
Astragalus_shortianus,37
Oenothera_sp.,38
Astragulus_crassicarpus,40
Astragalus_missouriensis,41
blob_unknown,43
Bouteloua_curtipendula,44
Bouteloua_dactyloides,45
Bouteloua_gracilis,46
Bouteloua_hirsuta,47
Bromus_japonicus,48
Bromus_tectorum,49
Carex_brevior,50
Carex_heliophyla,51
Calylophus_serrulatus,52
Carex_meadii,53
Carduus_nutans,54
Carex_eleocharis,55
Carex_filifolia,56
Carex_gravida,57
Castilleja_purpurea,58
Psoralea_tenuiflora,60
Chenopodium_sp.,61
Chloris_sp.,66
Circium_ochochrocentrum,67
Cirsium_undulatum,68
Cirsium_altissimum,69
Cirsium_sp.,70
Collomia_linearis,72
Comandra_umbellatum,73
Conyza_canadensis,74
Cryptantha_minima,77
Cyperus_lupulinus,78
Cymopterus_glomeratus,79
Cymopterus_montanus,81
Cyperus_acuminatus,82
Dalea_candida,84
Dalea_purpurea,86
Delphinium_geyeri,87
Dicanthelium_acuminatum,88
Dicanthelium_oligosanthes,89
Dieteria_canescens,90
Draba_reptans,91
Draba_sp.,92
Echinocereus_Escobaria,93
Eleocharis_sp.,94
Elymus_elymoides,95
Eragrostis_spectabilis,96
Ericameria_nauseosa,97
Eriogonum_alatum,98
Erigeron_pumilus,99
Erigeron_strigosus,100
Eriogonum_effusum,103
Eryisimum_asperum,107
unk_Artemisia_ludoviciana,108
Euphorbia_marginata,110
Euphorbia_sp.,112
Euphorbiadavidii,114
unk_forb_soft_velvet,118
unk_astragalus_oxytropis,119
Grindelia_squarrosa,122
Gutierrezia_sarothrae,124
Happlopappus_filiosus,125
Hedeoma_hispida,126
Helianthus_annuus,127
Helianthus_pumilus,128
Hesperostipa_comata,130
Heterotheca_villosa,131
Hordeum_pusilum,132
Ipomopsis_laxiflora,134
Juncus_interior,135
Koeleria_macrantha,137
Kuhnia_eupatoroides,141
Lactuca_serriola,142
Lappula_redowskii,143
Lespedeza_capitata,144
Lepidium_densiflorum,145
Lesquerella_montana,147
Leucocrinum_montanum,149
Liatris_punctata,151
Linaria_dalmatica,152
Linum_rigidum,153
Linum_sulcatum,154
Lithospermum_incisum,155
Lygodesmia_juncea,159
Machaeranthera_pinnatifida,161
Machaeranthera_tanacetifolia,163
Medicago_lupulina,164
Melilotus_sp.,166
Mertensia_lanceolata,168
Mirabilis_linearis,170
Monarda_fistulosa,171
Muhlenbergia_torreyi,172
Musineon_divaricatum,173
Nassella_viridula,175
Oenothera_suffrutescens,177
Oenothera_albicaulis,179
Oenothera_biennis,180
Oenothera_coronopifolia,181
Oenothera_speciosa,183
unk_opposite_leaf,184
Opuntia_polycantha,185
Orobanche_sp.,186
Oxalis_stricta,187
