sitesubplot,species,year,oldSpecies,location,experiment,site,plot,subplot,subplota,abundance,unitAbund,family,duration,growth,durationDetail,growthDetail
CDR_D_2_,agrostis scabra,1982,agrostis scabra,CDR,D,CDR_D,2,,2_,0.09,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,ambrosia psilostachya,1982,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,14.7,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1984,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,6.9,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1992,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,0.4,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1999,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,4.867,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,2002,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,2.133,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1987,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,0.333,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1985,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,2.367,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1983,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,2.167,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1991,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,0.23,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1998,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,5.467,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1994,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,0.9,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1996,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,7,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1986,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,7.4,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1997,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,1.7,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1995,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,0.715,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,ambrosia psilostachya,1990,ambrosia coronopifolia,CDR,D,CDR_D,2,,2_,0.567,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,andropogon gerardii,2002,andropogon gerardi,CDR,D,CDR_D,2,,2_,30.4,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,1988,andropogon gerardi,CDR,D,CDR_D,2,,2_,5.9,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,1983,andropogon gerardi,CDR,D,CDR_D,2,,2_,14.533,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,1987,andropogon gerardi,CDR,D,CDR_D,2,,2_,0.2,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,1997,andropogon gerardi,CDR,D,CDR_D,2,,2_,117.53,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,1996,andropogon gerardi,CDR,D,CDR_D,2,,2_,101.23,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,2001,andropogon gerardi,CDR,D,CDR_D,2,,2_,36.367,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,2004,andropogon gerardi,CDR,D,CDR_D,2,,2_,54.6,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,2000,andropogon gerardi,CDR,D,CDR_D,2,,2_,118.47,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,1993,andropogon gerardi,CDR,D,CDR_D,2,,2_,7.173,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,1986,andropogon gerardi,CDR,D,CDR_D,2,,2_,22.7,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,1994,andropogon gerardi,CDR,D,CDR_D,2,,2_,62,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,1990,andropogon gerardi,CDR,D,CDR_D,2,,2_,21.7,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,andropogon gerardii,1999,andropogon gerardi,CDR,D,CDR_D,2,,2_,143.57,biomassg_m2,fabaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,anemone cylindrica,2003,anemone cylindrica,CDR,D,CDR_D,2,,2_,0.467,biomassg_m2,ranunculaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,anemone cylindrica,1985,anemone cylindrica,CDR,D,CDR_D,2,,2_,9.767,biomassg_m2,ranunculaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,anemone cylindrica,1986,anemone cylindrica,CDR,D,CDR_D,2,,2_,0.013,biomassg_m2,ranunculaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,asclepias tuberosa,1989,asclepias tuberosa,CDR,D,CDR_D,2,,2_,4.5,biomassg_m2,asclepiadaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,asclepias tuberosa,1984,asclepias tuberosa,CDR,D,CDR_D,2,,2_,70.867,biomassg_m2,asclepiadaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,asclepias tuberosa,1992,asclepias tuberosa,CDR,D,CDR_D,2,,2_,6.167,biomassg_m2,asclepiadaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,asclepias tuberosa,1993,asclepias tuberosa,CDR,D,CDR_D,2,,2_,52.737,biomassg_m2,asclepiadaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,asclepias tuberosa,1982,asclepias tuberosa,CDR,D,CDR_D,2,,2_,30.033,biomassg_m2,asclepiadaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,calamagrostis canadensis,2001,calamagrostis canadensis,CDR,D,CDR_D,2,,2_,17.767,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,calamagrostis canadensis,2004,calamagrostis canadensis,CDR,D,CDR_D,2,,2_,137.37,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,calamagrostis canadensis,2002,calamagrostis canadensis,CDR,D,CDR_D,2,,2_,17.267,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,calamagrostis canadensis,1999,calamagrostis canadensis,CDR,D,CDR_D,2,,2_,17.667,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,calamagrostis canadensis,1997,calamagrostis canadensis,CDR,D,CDR_D,2,,2_,9.267,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,calamagrostis canadensis,2000,calamagrostis canadensis,CDR,D,CDR_D,2,,2_,25.433,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,calamagrostis canadensis,1996,calamagrostis canadensis,CDR,D,CDR_D,2,,2_,1.533,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,calamagrostis canadensis,2003,calamagrostis canadensis,CDR,D,CDR_D,2,,2_,195.5,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,campanula rotundifolia,2003,campanula rotundifolia,CDR,D,CDR_D,2,,2_,0.933,biomassg_m2,campanulaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,carex sp,1997,carex sp.,CDR,D,CDR_D,2,,2_,38.2,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,2004,carex sp.,CDR,D,CDR_D,2,,2_,12.367,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,2002,carex sp.,CDR,D,CDR_D,2,,2_,11.033,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1985,carex sp.,CDR,D,CDR_D,2,,2_,16.533,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1996,carex sp.,CDR,D,CDR_D,2,,2_,25.733,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
