"spei","lon","lat","Site","year","month","Rdate"
0.821606516838074,-104.75,41.25,"CHY",1901,6,1901-06-01
-0.644189417362213,-99.25,38.75,"HAYS",1901,6,1901-06-01
-1.12604069709778,-96.75,39.25,"KNZ",1901,6,1901-06-01
-0.00373895722441375,-106.75,34.25,"SEV_BLACK",1901,6,1901-06-01
-0.00373895722441375,-106.75,34.25,"SEV_BLUE",1901,6,1901-06-01
0.807851314544678,-104.75,40.75,"SGS",1901,6,1901-06-01
0.552335858345032,-104.75,41.25,"CHY",1901,7,1901-07-01
-1.15809428691864,-99.25,38.75,"HAYS",1901,7,1901-07-01
-1.38741183280945,-96.75,39.25,"KNZ",1901,7,1901-07-01
0.216873839497566,-106.75,34.25,"SEV_BLACK",1901,7,1901-07-01
0.216873839497566,-106.75,34.25,"SEV_BLUE",1901,7,1901-07-01
0.44691413640976,-104.75,40.75,"SGS",1901,7,1901-07-01
0.190660387277603,-104.75,41.25,"CHY",1901,8,1901-08-01
-1.35280442237854,-99.25,38.75,"HAYS",1901,8,1901-08-01
-1.69051468372345,-96.75,39.25,"KNZ",1901,8,1901-08-01
-0.510118722915649,-106.75,34.25,"SEV_BLACK",1901,8,1901-08-01
-0.510118722915649,-106.75,34.25,"SEV_BLUE",1901,8,1901-08-01
0.173185363411903,-104.75,40.75,"SGS",1901,8,1901-08-01
0.106319352984428,-104.75,41.25,"CHY",1901,9,1901-09-01
-1.17528736591339,-99.25,38.75,"HAYS",1901,9,1901-09-01
-1.62298333644867,-96.75,39.25,"KNZ",1901,9,1901-09-01
-0.628533124923706,-106.75,34.25,"SEV_BLACK",1901,9,1901-09-01
-0.628533124923706,-106.75,34.25,"SEV_BLUE",1901,9,1901-09-01
0.0772377923130989,-104.75,40.75,"SGS",1901,9,1901-09-01
-0.311854839324951,-104.75,41.25,"CHY",1901,10,1901-10-01
-1.3681697845459,-99.25,38.75,"HAYS",1901,10,1901-10-01
-1.68061256408691,-96.75,39.25,"KNZ",1901,10,1901-10-01
-0.342120438814163,-106.75,34.25,"SEV_BLACK",1901,10,1901-10-01
-0.342120438814163,-106.75,34.25,"SEV_BLUE",1901,10,1901-10-01
-0.581932306289673,-104.75,40.75,"SGS",1901,10,1901-10-01
-0.653852701187134,-104.75,41.25,"CHY",1901,11,1901-11-01
-1.27751743793488,-99.25,38.75,"HAYS",1901,11,1901-11-01
-1.67212855815887,-96.75,39.25,"KNZ",1901,11,1901-11-01
-0.150386437773705,-106.75,34.25,"SEV_BLACK",1901,11,1901-11-01
-0.150386437773705,-106.75,34.25,"SEV_BLUE",1901,11,1901-11-01
-0.859481334686279,-104.75,40.75,"SGS",1901,11,1901-11-01
-0.918408274650574,-104.75,41.25,"CHY",1901,12,1901-12-01
-1.02736270427704,-99.25,38.75,"HAYS",1901,12,1901-12-01
-1.51819944381714,-96.75,39.25,"KNZ",1901,12,1901-12-01
-0.263215810060501,-106.75,34.25,"SEV_BLACK",1901,12,1901-12-01
-0.263215810060501,-106.75,34.25,"SEV_BLUE",1901,12,1901-12-01
-1.07474482059479,-104.75,40.75,"SGS",1901,12,1901-12-01
-0.732164204120636,-104.75,41.25,"CHY",1902,1,1902-01-01
-0.326703161001205,-99.25,38.75,"HAYS",1902,1,1902-01-01
-1.2220561504364,-96.75,39.25,"KNZ",1902,1,1902-01-01
-0.562099158763885,-106.75,34.25,"SEV_BLACK",1902,1,1902-01-01
-0.562099158763885,-106.75,34.25,"SEV_BLUE",1902,1,1902-01-01
-0.737338900566101,-104.75,40.75,"SGS",1902,1,1902-01-01
-0.717340290546417,-104.75,41.25,"CHY",1902,2,1902-02-01
0.0358298234641552,-99.25,38.75,"HAYS",1902,2,1902-02-01
-0.839346885681152,-96.75,39.25,"KNZ",1902,2,1902-02-01
-0.445874750614166,-106.75,34.25,"SEV_BLACK",1902,2,1902-02-01
-0.445874750614166,-106.75,34.25,"SEV_BLUE",1902,2,1902-02-01
-0.873223543167114,-104.75,40.75,"SGS",1902,2,1902-02-01
-0.258226186037064,-104.75,41.25,"CHY",1902,3,1902-03-01
-0.21271775662899,-99.25,38.75,"HAYS",1902,3,1902-03-01
-1.21896386146545,-96.75,39.25,"KNZ",1902,3,1902-03-01
-0.321735590696335,-106.75,34.25,"SEV_BLACK",1902,3,1902-03-01
-0.321735590696335,-106.75,34.25,"SEV_BLUE",1902,3,1902-03-01
-0.450938552618027,-104.75,40.75,"SGS",1902,3,1902-03-01
-0.272041261196136,-104.75,41.25,"CHY",1902,4,1902-04-01
-0.799270212650299,-99.25,38.75,"HAYS",1902,4,1902-04-01
-1.74003303050995,-96.75,39.25,"KNZ",1902,4,1902-04-01
-1.19849967956543,-106.75,34.25,"SEV_BLACK",1902,4,1902-04-01
-1.19849967956543,-106.75,34.25,"SEV_BLUE",1902,4,1902-04-01
-0.469559848308563,-104.75,40.75,"SGS",1902,4,1902-04-01
-0.0655333325266838,-104.75,41.25,"CHY",1902,5,1902-05-01
