site,year,season,date,web,transect,block,plot,subplot,quad,treatment,kartez,genus,sp.epithet,family,LifeHistory,PhotoPath,FunctionalGroup,cover,volume,biomass.BM,biomass.BIM,SiteCluster,MetStation,season.precip,GDD,SPEI.comp
EDGE_black,2012,fall,2012-10-02,NA,NA,4,24,NA,2,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,31.5,409,87.129,87.129,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,2,NA,3,E,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,4.5,44.95,7.254,7.254,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,9,NA,4,D,SPPO6,Sphaeralcea,polychroma,Malvaceae,perennial,C3,forb,0.1,1.4,0.1649,0.1649,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,2,NA,2,E,SCBR2,Scleropogon,brevifolius,Poaceae,perennial,C4,grass,0.4,0.8,0.5725208,0.956,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,16,NA,3,E,TILA2,Tidestromia,lanuginosa,Amaranthaceae,annual,C4,forb,0.1,0.5,0.033,0.033,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,6,19,NA,1,E,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.85,5.6,0.387175,0.387175,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,6,18,NA,3,C,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.9,8.8,0.40995,0.40995,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,13,NA,3,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,23,294,63.618,63.618,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,7,NA,2,C,CHSE7,Chamaesyce,serrula,Euphorbiaceae,annual,C4,forb,1,1,0.642,0.642,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,27,NA,3,C,SOEL,Solanum,elaeagnifolium,Solanaceae,perennial,C3,forb,0.5,11.5,1.205213,1.081,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,25,NA,2,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,1.2,14.6,0.5466,0.5466,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,9,NA,2,D,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,1,9,1.14,1.14,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,4,15,NA,3,C,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,1.1,12.2,0.50105,0.50105,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,29,NA,2,D,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,0.1,0.3,0.114,0.114,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,6,NA,3,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,17,179.5,47.022,47.022,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,6,NA,4,E,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,2.35,17.95,3.7882,3.7882,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,2,26,NA,1,E,CHSE7,Chamaesyce,serrula,Euphorbiaceae,annual,C4,forb,0.6,1.2,0.3852,0.3852,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,16,NA,2,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,18,192,49.788,49.788,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,6,20,NA,3,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.3,2.4,0.13665,0.13665,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,2,21,NA,1,C,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,0.35,2.7,0.5642,0.5642,FivePoints,49,93.692,4592.053,-0.971916009
