site,species,spatial_rarity,temporal_rarity,FunctionalGroup,rarity_cat
CHY,Lesquerella_montana,0.103896104,0,forb,"Common (S), Persistent (T)"
CHY,Draba_reptans,0.402597403,0.5,forb,"Sparse (S), Intermittent (T)"
CHY,Antennaria_rosea,0.25974026,0,forb,"Sparse (S), Persistent (T)"
CHY,Carex_filifolia,0.324675325,0.9,grass,"Sparse (S), Intermittent (T)"
CHY,Artemesia_dracunculus,0.701298701,0.2,shrub,"Sparse (S), Persistent (T)"
CHY,Artemesia_frigida,0.077922078,0,shrub,"Common (S), Persistent (T)"
CHY,Artemesia_ludoviciana,1,1,shrub,"Sparse (S), Intermittent (T)"
CHY,Erigeron_pumilus,0.116883117,0.3,forb,"Common (S), Persistent (T)"
CHY,Cirsium_undulatum,0.272727273,0,forb,"Sparse (S), Persistent (T)"
CHY,Plantago_patagonica,0.142857143,0.1,forb,"Common (S), Persistent (T)"
CHY,Bouteloua_dactyloides,0.337662338,0.1,grass,"Sparse (S), Persistent (T)"
CHY,Carex_eleocharis,0,0,grass,"Common (S), Persistent (T)"
CHY,Bouteloua_hirsuta,0.727272727,0.9,grass,"Sparse (S), Intermittent (T)"
CHY,Sporobolus_sp.,0.74025974,0.8,grass,"Sparse (S), Intermittent (T)"
CHY,Bromus_tectorum,0.623376623,0.4,grass,"Sparse (S), Persistent (T)"
CHY,Bouteloua_gracilis,0.012987013,0,grass,"Common (S), Persistent (T)"
CHY,Nassella_viridula,0.818181818,0.8,grass,"Sparse (S), Intermittent (T)"
CHY,Lepidium_densiflorum,0.454545455,0.5,forb,"Sparse (S), Intermittent (T)"
CHY,Grindelia_squarrosa,0.493506494,0.5,forb,"Sparse (S), Intermittent (T)"
CHY,Lygodesmia_juncea,0.285714286,0,forb,"Sparse (S), Persistent (T)"
CHY,Taraxacum_officinale,0.298701299,0.2,forb,"Sparse (S), Persistent (T)"
CHY,Comandra_umbellatum,0.155844156,0,shrub,"Common (S), Persistent (T)"
CHY,Cymopterus_glomeratus,0.558441558,0.6,forb,"Sparse (S), Intermittent (T)"
CHY,Cymopterus_montanus,0.584415584,0.8,forb,"Sparse (S), Intermittent (T)"
CHY,Chenopodium_sp.,0.597402597,0.6,forb,"Sparse (S), Intermittent (T)"
CHY,Conyza_canadensis,0.61038961,0.7,forb,"Sparse (S), Intermittent (T)"
CHY,Dieteria_canescens,0.662337662,0.5,forb,"Sparse (S), Intermittent (T)"
CHY,Circium_ochochrocentrum,0.675324675,0.7,forb,"Sparse (S), Intermittent (T)"
CHY,Orobanche_sp.,0.688311688,0.5,forb,"Sparse (S), Intermittent (T)"
CHY,Antennaria_parvifolia,0.753246753,0.9,forb,"Sparse (S), Intermittent (T)"
CHY,Echinocereus_Escobaria,0.350649351,0,shrub,"Sparse (S), Persistent (T)"
CHY,Linaria_dalmatica,0.168831169,0.3,forb,"Common (S), Persistent (T)"
CHY,Eriogonum_alatum,0.87012987,0.8,shrub,"Sparse (S), Intermittent (T)"
CHY,Eriogonum_effusum,0.415584416,0,shrub,"Sparse (S), Persistent (T)"
CHY,Machaeranthera_tanacetifolia,0.766233766,0.7,forb,"Sparse (S), Intermittent (T)"
CHY,Gutierrezia_sarothrae,0.571428571,0.4,shrub,"Sparse (S), Persistent (T)"
CHY,Pascopyrum_smithii,0.025974026,0,grass,"Common (S), Persistent (T)"
CHY,Heterotheca_villosa,0.064935065,0,shrub,"Common (S), Persistent (T)"
CHY,Koeleria_macrantha,0.038961039,0,grass,"Common (S), Persistent (T)"
CHY,Musineon_divaricatum,0.311688312,0.1,forb,"Sparse (S), Persistent (T)"
CHY,Leucocrinum_montanum,0.376623377,0.1,forb,"Sparse (S), Persistent (T)"
CHY,Draba_nemorosa,0.779220779,0.7,forb,"Sparse (S), Intermittent (T)"
CHY,Mertensia_lanceolata,0.181818182,0,forb,"Common (S), Persistent (T)"
CHY,Phlox_hoodii,0.38961039,0,forb,"Sparse (S), Persistent (T)"
CHY,Potentilla_pensylvanica,0.441558442,0,forb,"Sparse (S), Persistent (T)"
CHY,Tragopogon_dubius,0.194805195,0.2,forb,"Common (S), Persistent (T)"
CHY,Lactuca_serriola,0.480519481,0.3,forb,"Sparse (S), Persistent (T)"
CHY,Machaeranthera_pinnatifida,0.363636364,0,shrub,"Sparse (S), Persistent (T)"
CHY,Sisymbrium_altissimum,0.792207792,0.7,forb,"Sparse (S), Intermittent (T)"
CHY,Astragalus_shortianus,0.207792208,0,forb,"Common (S), Persistent (T)"
CHY,Mirabilis_linearis,0.467532468,0.1,shrub,"Sparse (S), Persistent (T)"
CHY,Astragalus_laxmanii,0.506493506,0.2,forb,"Sparse (S), Persistent (T)"
CHY,Poa_pratensis,0.831168831,0.9,grass,"Sparse (S), Intermittent (T)"
CHY,Tradescantia_occidentalis,0.805194805,0.8,forb,"Sparse (S), Intermittent (T)"
CHY,Lappula_redowskii,0.519480519,0.2,forb,"Sparse (S), Persistent (T)"
CHY,Oenothera_suffrutescens,0.428571429,0.1,shrub,"Sparse (S), Persistent (T)"
CHY,Oenothera_albicaulis,0.857142857,0.9,forb,"Sparse (S), Intermittent (T)"
CHY,Descurainia_pinnata,0.883116883,0.9,forb,"Sparse (S), Intermittent (T)"
CHY,Silene_sp.,0.896103896,0.9,forb,"Sparse (S), Intermittent (T)"
CHY,Hesperostipa_comata,0.051948052,0,grass,"Common (S), Persistent (T)"
CHY,Astragalus_drummondii,0.220779221,0,forb,"Common (S), Persistent (T)"
CHY,Oenothera_coronopifolia,0.545454545,0.2,forb,"Sparse (S), Persistent (T)"
CHY,Picradeniopsis_oppositifolia,1,1,shrub,"Sparse (S), Intermittent (T)"
CHY,Penstemon_albidus,0.233766234,0.1,forb,"Common (S), Persistent (T)"
CHY,Aristida_purpurea,0.844155844,0.9,grass,"Sparse (S), Intermittent (T)"
CHY,Polygala_verticillata,0.909090909,0.9,forb,"Sparse (S), Intermittent (T)"
CHY,Tetraneuris_acaulis,0.545454545,0.2,forb,"Sparse (S), Persistent (T)"
CHY,Delphinium_geyeri,1,1,forb,"Sparse (S), Intermittent (T)"
CHY,Oxytropis_lambertii,1,1,forb,"Sparse (S), Intermittent (T)"
CHY,Paronychia_sp.,1,1,forb,"Sparse (S), Intermittent (T)"
CHY,Sphaeralcea_coccinea,0.12987013,0,shrub,"Common (S), Persistent (T)"
CHY,Bromus_japonicus,1,1,grass,"Sparse (S), Intermittent (T)"
CHY,Townsendia_grandiflora,0.636363636,0.2,forb,"Sparse (S), Persistent (T)"
CHY,Liatris_punctata,0.662337662,0.2,forb,"Sparse (S), Persistent (T)"
CHY,Collomia_linearis,0.714285714,0.4,forb,"Sparse (S), Persistent (T)"
CHY,Ratibida_columnifera,1,1,forb,"Sparse (S), Intermittent (T)"
CHY,Allium_textile,0.246753247,0.2,forb,"Common (S), Persistent (T)"
CHY,Vulpia_octoflora,0.090909091,0.2,grass,"Common (S), Persistent (T)"
