site,species,spatial_rarity,temporal_rarity,FunctionalGroup,rarity_cat
HYS,Achillea_millefolium,0.336448598,0.1,forb,"Sparse (S), Persistent (T)"
HYS,Linum_rigidum,0.420560748,0.5,forb,"Sparse (S), Intermittent (T)"
HYS,Ambrosia_psilostachya,0.056074766,0,forb,"Common (S), Persistent (T)"
HYS,Vulpia_octoflora,0.355140187,0.5,grass,"Sparse (S), Intermittent (T)"
HYS,Andropogon_ternarius,0.112149533,0,grass,"Common (S), Persistent (T)"
HYS,Draba_reptans,0.495327103,0.5,forb,"Sparse (S), Intermittent (T)"
HYS,Aristida_purpurea,0.074766355,0,grass,"Common (S), Persistent (T)"
HYS,Artemesia_ludoviciana,0.102803738,0,shrub,"Common (S), Persistent (T)"
HYS,Asclepias_asperula,0.392523364,0.3,forb,"Sparse (S), Persistent (T)"
HYS,Plantago_patagonica,0.504672897,0.7,forb,"Sparse (S), Intermittent (T)"
HYS,Asclepias_stenophylla,1,1,shrub,"Sparse (S), Intermittent (T)"
HYS,Eriogonum_sp,0.514018692,0.5,forb,"Sparse (S), Intermittent (T)"
HYS,Asclepias_viridis,0.551401869,0.5,forb,"Sparse (S), Intermittent (T)"
HYS,Aster_ericoides,0.205607477,0,forb,"Common (S), Persistent (T)"
HYS,Aster_oblongifolius,0.140186916,0,forb,"Common (S), Persistent (T)"
HYS,Astragalus_sp,0.485981308,0.3,forb,"Sparse (S), Persistent (T)"
HYS,Astragulus_crassicarpus,0.23364486,0.2,forb,"Common (S), Persistent (T)"
HYS,Bouteloua_curtipendula,0,0,grass,"Common (S), Persistent (T)"
HYS,Bouteloua_dactyloides,0.130841121,0,grass,"Common (S), Persistent (T)"
HYS,Bouteloua_gracilis,0.046728972,0,grass,"Common (S), Persistent (T)"
HYS,Bouteloua_hirsuta,0.168224299,0,grass,"Common (S), Persistent (T)"
HYS,Bromus_japonicus,0.08411215,0,grass,"Common (S), Persistent (T)"
HYS,Schedonnardus_paniculatus,0.457943925,0.7,grass,"Sparse (S), Intermittent (T)"
HYS,Calylophus_serrulatus,0.691588785,0.8,shrub,"Sparse (S), Intermittent (T)"
HYS,Andropogon_gerardii,0.46728972,0.7,grass,"Sparse (S), Intermittent (T)"
HYS,Carex_brevior,0.61682243,0.5,grass,"Sparse (S), Intermittent (T)"
HYS,Hordeum_pusilum,0.626168224,0.7,grass,"Sparse (S), Intermittent (T)"
HYS,Castilleja_purpurea,1,1,shrub,"Sparse (S), Intermittent (T)"
HYS,Chaetopappa_ericoides,0.542056075,0.6,shrub,"Sparse (S), Intermittent (T)"
HYS,Lactuca_serriola,0.560747664,0.6,forb,"Sparse (S), Intermittent (T)"
HYS,Cyperus_acuminatus,0.682242991,0.7,grass,"Sparse (S), Intermittent (T)"
HYS,Cirsium_undulatum,0.177570093,0,forb,"Common (S), Persistent (T)"
HYS,Solidago_canadensis,0.570093458,0.9,forb,"Sparse (S), Intermittent (T)"
HYS,Conyza_canadensis,0.299065421,0.3,forb,"Sparse (S), Persistent (T)"
HYS,Euphorbiadavidii,0.588785047,0.7,forb,"Sparse (S), Intermittent (T)"
HYS,Carex_heliophyla,0.738317757,0.8,grass,"Sparse (S), Intermittent (T)"
HYS,Dalea_candida,0.672897196,0.8,shrub,"Sparse (S), Intermittent (T)"
HYS,Dalea_purpurea,0.448598131,0.4,shrub,"Sparse (S), Persistent (T)"
HYS,Androsace_occidentalis,0.598130841,0.9,forb,"Sparse (S), Intermittent (T)"
HYS,Dicanthelium_oligosanthes,0.14953271,0.1,grass,"Common (S), Persistent (T)"
HYS,Helianthus_annuus,0.61682243,0.6,forb,"Sparse (S), Intermittent (T)"
HYS,Echinocereus_Escobaria,1,1,shrub,"Sparse (S), Intermittent (T)"
HYS,Erigeron_strigosus,0.214953271,0.1,forb,"Common (S), Persistent (T)"
HYS,Viola_rafinesquii,0.635514019,0.7,forb,"Sparse (S), Intermittent (T)"
HYS,Eryisimum_asperum,0.242990654,0.1,forb,"Common (S), Persistent (T)"
HYS,Erysimum_capitatum,1,1,shrub,"Sparse (S), Intermittent (T)"
HYS,Triodanis_sp.,0.644859813,0.7,forb,"Sparse (S), Intermittent (T)"
HYS,Euphorbia_sp.,0.429906542,0.4,forb,"Sparse (S), Persistent (T)"
HYS,Salvia_azurea,0.663551402,0.8,forb,"Sparse (S), Intermittent (T)"
HYS,Gutierrezia_sarothrae,0.121495327,0,shrub,"Common (S), Persistent (T)"
HYS,Happlopappus_filiosus,1,1,shrub,"Sparse (S), Intermittent (T)"
HYS,Hedeoma_hispida,0.289719626,0,forb,"Sparse (S), Persistent (T)"
