site,species,spatial_rarity,temporal_rarity,FunctionalGroup,rarity_cat
KNZ,Erigeron_strigosus,0.480519481,0.555555556,forb,"Sparse (S), Intermittent (T)"
KNZ,Sisynchrium_campestre,0.558441558,0.777777778,forb,"Sparse (S), Intermittent (T)"
KNZ,Euphorbia_marginata,0.571428571,0.555555556,forb,"Sparse (S), Intermittent (T)"
KNZ,Ambrosia_psilostachya,0.064935065,0,forb,"Common (S), Persistent (T)"
KNZ,Amorpha_canescens,0.077922078,0,shrub,"Common (S), Persistent (T)"
KNZ,Andropogon_gerardii,0,0,grass,"Common (S), Persistent (T)"
KNZ,Physalis_pumila,0.25974026,0,forb,"Sparse (S), Persistent (T)"
KNZ,Artemesia_ludoviciana,0.38961039,0,shrub,"Sparse (S), Persistent (T)"
KNZ,Asclepias_stenophylla,0.415584416,0.222222222,shrub,"Sparse (S), Persistent (T)"
KNZ,Teucrium_canadense,0.272727273,0.333333333,forb,"Sparse (S), Persistent (T)"
KNZ,Aster_oblongifolius,0.584415584,0.777777778,forb,"Sparse (S), Intermittent (T)"
KNZ,Salvia_azurea,0.285714286,0,forb,"Sparse (S), Persistent (T)"
KNZ,Psoralea_tenuiflora,0.116883117,0,forb,"Common (S), Persistent (T)"
KNZ,Lespedeza_violacea,0.623376623,0.777777778,forb,"Sparse (S), Intermittent (T)"
KNZ,Oxalis_stricta,0.324675325,0.222222222,forb,"Sparse (S), Persistent (T)"
KNZ,Ruellia_humilis,0.142857143,0,forb,"Common (S), Persistent (T)"
KNZ,Schrankia_nutallii,0.623376623,0.888888889,forb,"Sparse (S), Intermittent (T)"
KNZ,Baptisia_bracteata,0.337662338,0,forb,"Sparse (S), Persistent (T)"
KNZ,Sorghastrum_nutans,0.012987013,0,grass,"Common (S), Persistent (T)"
KNZ,Poa_pratensis,0.701298701,0.888888889,grass,"Sparse (S), Intermittent (T)"
KNZ,Bouteloua_gracilis,0.363636364,0,grass,"Sparse (S), Persistent (T)"
KNZ,Carex_gravida,0.805194805,0.888888889,grass,"Sparse (S), Intermittent (T)"
KNZ,Schizachyrium_scoparium,0.025974026,0,grass,"Common (S), Persistent (T)"
KNZ,Bouteloua_dactyloides,1,1,grass,"Sparse (S), Intermittent (T)"
KNZ,Carex_meadii,0.038961039,0,grass,"Common (S), Persistent (T)"
KNZ,Sporobolus_asper,0.051948052,0,grass,"Common (S), Persistent (T)"
KNZ,Oxalis_violacea,0.649350649,0.888888889,forb,"Sparse (S), Intermittent (T)"
KNZ,Cyperus_lupulinus,0.519480519,0.222222222,grass,"Sparse (S), Persistent (T)"
KNZ,Dalea_candida,0.454545455,0.111111111,shrub,"Sparse (S), Persistent (T)"
KNZ,Dalea_purpurea,0.532467532,0.444444444,shrub,"Sparse (S), Persistent (T)"
KNZ,Taraxacum_officinale,0.649350649,0.888888889,forb,"Sparse (S), Intermittent (T)"
KNZ,Dicanthelium_acuminatum,0.350649351,0.111111111,grass,"Sparse (S), Persistent (T)"
KNZ,Carex_heliophyla,0.090909091,0,grass,"Common (S), Persistent (T)"
KNZ,Eleocharis_sp.,0.311688312,0.222222222,grass,"Sparse (S), Persistent (T)"
KNZ,Panicum_virgatum,0.103896104,0,grass,"Common (S), Persistent (T)"
KNZ,Lactuca_serriola,0.675324675,0.777777778,forb,"Sparse (S), Intermittent (T)"
KNZ,Polygala_verticillata,0.675324675,0.888888889,forb,"Sparse (S), Intermittent (T)"
KNZ,Asclepias_verticillata,0.155844156,0,forb,"Common (S), Persistent (T)"
KNZ,Bouteloua_hirsuta,1,1,grass,"Sparse (S), Intermittent (T)"
KNZ,Koeleria_macrantha,0.298701299,0.111111111,grass,"Sparse (S), Persistent (T)"
KNZ,Kuhnia_eupatoroides,1,1,shrub,"Sparse (S), Intermittent (T)"
KNZ,Ambrosia_artemisiifolia,0.688311688,0.777777778,forb,"Sparse (S), Intermittent (T)"
KNZ,Plantago_rhodosperma,0.714285714,0.888888889,forb,"Sparse (S), Intermittent (T)"
KNZ,Aster_ericoides,0.181818182,0,forb,"Common (S), Persistent (T)"
KNZ,Asclepias_viridiflora,0.74025974,0.888888889,forb,"Sparse (S), Intermittent (T)"
KNZ,Lepidium_densiflorum,0.74025974,0.888888889,forb,"Sparse (S), Intermittent (T)"
KNZ,Asclepias_tuberosa,0.376623377,0.333333333,forb,"Sparse (S), Persistent (T)"
KNZ,Asclepias_syriaca,0.805194805,0.888888889,forb,"Sparse (S), Intermittent (T)"
KNZ,Oenothera_speciosa,1,1,shrub,"Sparse (S), Intermittent (T)"
KNZ,Verbena_stricta,0.402597403,0.111111111,forb,"Sparse (S), Persistent (T)"
KNZ,Cirsium_sp,0.805194805,0.888888889,forb,"Sparse (S), Intermittent (T)"
