site,species,spatial_rarity,temporal_rarity,FunctionalGroup,rarity_cat
SBK,Bouteloua_eriopoda,0,0,grass,"Common (S), Persistent (T)"
SBK,Eriogonum_rotundifolium,0.3,0.583333333,forb,"Sparse (S), Intermittent (T)"
SBK,Lesquerella_fendleri,0.35,0.5,forb,"Sparse (S), Intermittent (T)"
SBK,Bouteloua_barbata,0.275,0.666666667,grass,"Sparse (S), Intermittent (T)"
SBK,Bouteloua_gracilis,0.325,0.916666667,grass,"Sparse (S), Intermittent (T)"
SBK,Astragalus_sp,0.3125,0.166666667,forb,"Sparse (S), Persistent (T)"
SBK,Dasyochloa_pulchella,0.4,0.666666667,grass,"Sparse (S), Intermittent (T)"
SBK,Kallstroemia_parviflora,0.0125,0.333333333,forb,"Common (S), Persistent (T)"
SBK,Enneapogon_desvauxii,0.4625,0.75,grass,"Sparse (S), Intermittent (T)"
SBK,Krascheninnikovia_lanata,0.25,0.25,shrub,"Sparse (S), Persistent (T)"
SBK,Ipomopsis_pumila,0.4125,0.583333333,forb,"Sparse (S), Intermittent (T)"
SBK,Salsola_tragus,0.025,0.25,forb,"Common (S), Persistent (T)"
SBK,Eriogonum_abertianum,0.425,0.583333333,forb,"Sparse (S), Intermittent (T)"
SBK,Chamaesyce_serpyllifolia,0.125,0.583333333,forb,"Common (S), Intermittent (T)"
SBK,Sporobolus_sp,0.0375,0,grass,"Common (S), Persistent (T)"
SBK,Plantago_patagonica,0.05,0.25,forb,"Common (S), Persistent (T)"
SBK,Lappula_occidentalis,0.4375,0.666666667,forb,"Sparse (S), Intermittent (T)"
SBK,Aristida_adscensionis,0.5,0.833333333,grass,"Sparse (S), Intermittent (T)"
SBK,Gutierrezia_sarothrae,0.0625,0,shrub,"Common (S), Persistent (T)"
SBK,Kallstroemia_hirsutissima,0.45,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBK,Gutierrezia_sphaerocephala,0.3875,0.666666667,shrub,"Sparse (S), Intermittent (T)"
SBK,Opuntia_phaeacantha,0.5875,0.916666667,shrub,"Sparse (S), Intermittent (T)"
SBK,Munroa_squarrosa,0.5125,0.666666667,grass,"Sparse (S), Intermittent (T)"
SBK,Machaeranthera_tanacetifolia,0.475,0.833333333,forb,"Sparse (S), Intermittent (T)"
SBK,Portulaca_oleracea,0.5375,0.75,forb,"Sparse (S), Intermittent (T)"
SBK,Chamaesyce_albomarginata,0.55,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBK,Stephanomeria_pauciflora,0.6,0.916666667,shrub,"Sparse (S), Intermittent (T)"
SBK,Euphorbia_exstipulata,0.075,0.25,forb,"Common (S), Persistent (T)"
SBK,Hoffmannseggia_glauca,0.625,0.833333333,forb,"Sparse (S), Intermittent (T)"
SBK,Zinnia_grandiflora,0.6125,0.916666667,shrub,"Sparse (S), Intermittent (T)"
SBK,Muhlenbergia_arenicola,0.1125,0,grass,"Common (S), Persistent (T)"
SBK,Gaillardia_pinnatifida,0.725,0.916666667,shrub,"Sparse (S), Intermittent (T)"
SBK,Chamaesyce_lata,0.1375,0,forb,"Common (S), Persistent (T)"
SBK,Nama_hispidum,0.65,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBK,Melampodium_leucanthum,0.7375,0.916666667,shrub,"Sparse (S), Intermittent (T)"
SBK,Townsendia_annua,0.6625,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBK,Aphanostephus_ramosissimus,0.6875,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBK,Scleropogon_brevifolius,0.15,0,grass,"Common (S), Persistent (T)"
SBK,Sphaeralcea_polychroma,0.2625,0.166666667,shrub,"Sparse (S), Persistent (T)"
SBK,Erigeron_divergens,0.6875,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBK,Echinocereus_fendleri,1,1,shrub,"Sparse (S), Intermittent (T)"
SBK,Amaranthus_blitoides,0.725,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBK,Machaeranthera_canescens,0.725,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBK,Linum_puberulum,0.3375,0.25,forb,"Sparse (S), Persistent (T)"
SBK,Dalea_nana,0.75,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBK,Evolvulus_nuttallianus,0.7625,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBK,Muhlenbergia_arenacea,0.525,0.916666667,grass,"Sparse (S), Intermittent (T)"
SBK,Chamaesyce_revoluta,1,1,forb,"Sparse (S), Intermittent (T)"
SBK,Dimorphocarpa_wislizeni,1,1,forb,"Sparse (S), Intermittent (T)"
SBK,Hoffmannseggia_drepanocarpa,0.1625,0,shrub,"Common (S), Persistent (T)"
SBK,Lepidium_densiflorum,1,1,forb,"Sparse (S), Intermittent (T)"
SBK,Ecinomastus_intertextus,1,1,shrub,"Sparse (S), Intermittent (T)"
SBK,Lycurus_phleoides,0.5625,0.916666667,grass,"Sparse (S), Intermittent (T)"
SBK,Machaeranthera_pinnatifida,0.175,0.166666667,shrub,"Common (S), Persistent (T)"
SBK,Tragus_racemosus,0.575,0.916666667,grass,"Sparse (S), Intermittent (T)"
SBK,Lithospermum_incisum,1,1,forb,"Sparse (S), Intermittent (T)"
SBK,Solanum_elaeagnifolium,0.2875,0.166666667,shrub,"Sparse (S), Persistent (T)"
SBK,Opuntia_macrocenta,0.1,0.583333333,shrub,"Common (S), Intermittent (T)"
SBK,Escobaria_vivipara,1,1,shrub,"Sparse (S), Intermittent (T)"
SBK,Aristida_purpurea,0.65,0.916666667,grass,"Sparse (S), Intermittent (T)"
SBK,Phacelia_crenulata,0.0875,0.583333333,forb,"Common (S), Intermittent (T)"
SBK,Lotus_plebeius,1,1,forb,"Sparse (S), Intermittent (T)"
SBK,Allionia_incarnata,0.1875,0.166666667,forb,"Common (S), Persistent (T)"
SBK,Pleuraphis_jamesii,0.3625,0.333333333,grass,"Sparse (S), Persistent (T)"
SBK,Machaeranthera_gracilis,1,1,forb,"Sparse (S), Intermittent (T)"
SBK,Hymenopappus_filifolius,1,1,shrub,"Sparse (S), Intermittent (T)"
SBK,Chamaesyce_serrula,0.2,0.166666667,forb,"Common (S), Persistent (T)"
SBK,Larrea_tridentata,1,1,shrub,"Sparse (S), Intermittent (T)"
SBK,Cryptantha_crassisepala,0.2125,0.416666667,forb,"Common (S), Persistent (T)"
SBK,Psilostrophe_tagetina,1,1,shrub,"Sparse (S), Intermittent (T)"
SBK,Sclerocactus_papyracanthus,1,1,shrub,"Sparse (S), Intermittent (T)"
SBK,Chaetopappa_ericoides,0.375,0.333333333,shrub,"Sparse (S), Persistent (T)"
SBK,Selinocarpus_diffusus,1,1,shrub,"Sparse (S), Intermittent (T)"
SBK,Oenothera_caespitosa,0.4875,0.416666667,shrub,"Sparse (S), Persistent (T)"
SBK,Senecio_flaccidus,1,1,shrub,"Sparse (S), Intermittent (T)"
SBK,Tidestromia_lanuginosa,0.225,0.166666667,forb,"Common (S), Persistent (T)"
SBK,Sphaeralcea_hastulata,1,1,shrub,"Sparse (S), Intermittent (T)"
SBK,Descurainia_pinnata,0.2375,0.416666667,forb,"Common (S), Persistent (T)"
SBK,Phemeranthus_longipes,1,1,forb,"Sparse (S), Intermittent (T)"
SBK,Panicum_hirticaule,1,1,grass,"Sparse (S), Intermittent (T)"
SBK,Sphaeralcea_wrightii,1,1,shrub,"Sparse (S), Intermittent (T)"
