site,species,spatial_rarity,temporal_rarity,FunctionalGroup,rarity_cat
SBL,Aristida_adscensionis,0.208333333,0.5,grass,"Common (S), Intermittent (T)"
SBL,Allium_macropetalum,0.333333333,0.416666667,forb,"Sparse (S), Persistent (T)"
SBL,Descurainia_pinnata,0.25,0.666666667,forb,"Sparse (S), Intermittent (T)"
SBL,Kallstroemia_hirsutissima,0.260416667,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBL,Phacelia_crenulata,0.28125,0.75,forb,"Sparse (S), Intermittent (T)"
SBL,Chamaesyce_serrula,0.15625,0.5,forb,"Common (S), Intermittent (T)"
SBL,Aristida_purpurea,0.34375,0.25,grass,"Sparse (S), Persistent (T)"
SBL,Bouteloua_gracilis,0,0,grass,"Common (S), Persistent (T)"
SBL,Senecio_flaccidus,0.375,0.75,shrub,"Sparse (S), Intermittent (T)"
SBL,Chamaesyce_revoluta,0.3125,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBL,Cymopterus_acaulis,0.322916667,0.583333333,forb,"Sparse (S), Intermittent (T)"
SBL,Ipomopsis_pumila,0.364583333,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBL,Bouteloua_barbata,0.395833333,0.5,grass,"Sparse (S), Intermittent (T)"
SBL,Bouteloua_eriopoda,0.010416667,0,grass,"Common (S), Persistent (T)"
SBL,Chamaesyce_serpyllifolia,0.020833333,0.083333333,forb,"Common (S), Persistent (T)"
SBL,Oenothera_caespitosa,0.385416667,0.5,shrub,"Sparse (S), Intermittent (T)"
SBL,Krascheninnikovia_lanata,0.479166667,0.75,shrub,"Sparse (S), Intermittent (T)"
SBL,Plantago_patagonica,0.03125,0.416666667,forb,"Common (S), Persistent (T)"
SBL,Malacothrix_fendleri,0.40625,0.666666667,forb,"Sparse (S), Intermittent (T)"
SBL,Cryptantha_crassisepala,0.416666667,0.5,forb,"Sparse (S), Intermittent (T)"
SBL,Glandularia_bipinnatifida,0.427083333,0.5,forb,"Sparse (S), Intermittent (T)"
SBL,Sporobolus_sp,0.041666667,0,grass,"Common (S), Persistent (T)"
SBL,Kallstroemia_parviflora,0.239583333,0.5,forb,"Common (S), Intermittent (T)"
SBL,Delphinium_wootonii,0.447916667,0.666666667,forb,"Sparse (S), Intermittent (T)"
SBL,Chamaesyce_fendleri,0.46875,0.916666667,forb,"Sparse (S), Intermittent (T)"
SBL,Hymenopappus_filifolius,0.489583333,0.583333333,shrub,"Sparse (S), Intermittent (T)"
SBL,Machaeranthera_gracilis,0.520833333,0.75,forb,"Sparse (S), Intermittent (T)"
SBL,Dasyochloa_pulchella,0.291666667,0.166666667,grass,"Sparse (S), Persistent (T)"
SBL,Lithospermum_incisum,0.552083333,0.833333333,forb,"Sparse (S), Intermittent (T)"
SBL,Linum_puberulum,0.583333333,0.75,forb,"Sparse (S), Intermittent (T)"
SBL,Solanum_elaeagnifolium,0.5,0.583333333,shrub,"Sparse (S), Intermittent (T)"
