site,species,spatial_rarity,temporal_rarity,FunctionalGroup,rarity_cat
SGS,Bouteloua_dactyloides,0.339285714,0,grass,"Sparse (S), Persistent (T)"
SGS,Bouteloua_gracilis,0,0,grass,"Common (S), Persistent (T)"
SGS,Astragalus_sp,0.535714286,0.5,forb,"Sparse (S), Intermittent (T)"
SGS,Lactuca_serriola,0.607142857,0.7,forb,"Sparse (S), Intermittent (T)"
SGS,Lygodesmia_juncea,0.625,0.6,forb,"Sparse (S), Intermittent (T)"
SGS,Muhlenbergia_torreyi,0.357142857,0.3,grass,"Sparse (S), Persistent (T)"
SGS,Elymus_elymoides,0.017857143,0,grass,"Common (S), Persistent (T)"
SGS,Pascopyrum_smithii,0.482142857,0.6,grass,"Sparse (S), Intermittent (T)"
SGS,Vulpia_octoflora,0.035714286,0.1,grass,"Common (S), Persistent (T)"
SGS,Plantago_patagonica,0.053571429,0.2,forb,"Common (S), Persistent (T)"
SGS,Carex_eleocharis,0.071428571,0,grass,"Common (S), Persistent (T)"
SGS,Astragalus_mollissimus,0.696428571,0.9,forb,"Sparse (S), Intermittent (T)"
SGS,Tragopogon_dubius,0.25,0.1,forb,"Sparse (S), Persistent (T)"
SGS,Conyza_canadensis,0.267857143,0.3,forb,"Sparse (S), Persistent (T)"
SGS,Taraxacum_officinale,0.714285714,0.6,forb,"Sparse (S), Intermittent (T)"
SGS,Echinocereus_Escobaria,0.428571429,0,shrub,"Sparse (S), Persistent (T)"
SGS,Sphaeralcea_coccinea,0.089285714,0,shrub,"Common (S), Persistent (T)"
SGS,Mirabilis_linearis,0.464285714,0.1,shrub,"Sparse (S), Persistent (T)"
SGS,Ipomopsis_laxiflora,0.285714286,0.4,forb,"Sparse (S), Persistent (T)"
SGS,Heterotheca_villosa,0.392857143,0.5,shrub,"Sparse (S), Intermittent (T)"
SGS,Talinum_parviflorum,0.589285714,0.5,shrub,"Sparse (S), Intermittent (T)"
SGS,Hesperostipa_comata,0.517857143,0.5,grass,"Sparse (S), Intermittent (T)"
SGS,Machaeranthera_pinnatifida,0.660714286,0.5,shrub,"Sparse (S), Intermittent (T)"
SGS,Oenothera_sp,0.303571429,0.2,forb,"Sparse (S), Persistent (T)"
SGS,Kochia_scoparia,0.75,0.8,forb,"Sparse (S), Intermittent (T)"
SGS,Cirsium_undulatum,0.767857143,0.7,forb,"Sparse (S), Intermittent (T)"
SGS,Astragalus_shortianus,0.785714286,0.7,forb,"Sparse (S), Intermittent (T)"
SGS,Opuntia_polycantha,0.107142857,0,shrub,"Common (S), Persistent (T)"
SGS,Sisymbrium_altissimum,0.321428571,0.3,forb,"Sparse (S), Persistent (T)"
SGS,Cryptantha_minima,0.375,0.3,forb,"Sparse (S), Persistent (T)"
SGS,Oxytropis_sericea,0.803571429,0.9,forb,"Sparse (S), Intermittent (T)"
SGS,Picradeniopsis_oppositifolia,0.839285714,0.9,shrub,"Sparse (S), Intermittent (T)"
SGS,Artemesia_frigida,0.125,0,shrub,"Common (S), Persistent (T)"
SGS,Stephanomeria_runcinata,0.5,0.4,shrub,"Sparse (S), Persistent (T)"
SGS,Aristida_purpurea,0.446428571,0.1,grass,"Sparse (S), Persistent (T)"
SGS,Euphorbia_sp.,0.410714286,0.3,forb,"Sparse (S), Persistent (T)"
SGS,Bromus_tectorum,0.142857143,0.3,grass,"Common (S), Persistent (T)"
SGS,Solanum_triflorum,0.821428571,0.9,forb,"Sparse (S), Intermittent (T)"
SGS,Orobanche_sp.,0.875,0.9,forb,"Sparse (S), Intermittent (T)"
SGS,Bouteloua_hirsuta,0.553571429,0.9,grass,"Sparse (S), Intermittent (T)"
SGS,Gutierrezia_sarothrae,0.857142857,0.9,shrub,"Sparse (S), Intermittent (T)"
SGS,Evolvulus_nuttalliana,1,1,shrub,"Sparse (S), Intermittent (T)"
SGS,Theleperma_filifolium,0.160714286,0.2,forb,"Common (S), Persistent (T)"
SGS,Tradescantia_occidentalis,0.892857143,0.9,forb,"Sparse (S), Intermittent (T)"
SGS,Lepidium_densiflorum,0.178571429,0.2,forb,"Common (S), Persistent (T)"
SGS,Psoralea_tenuiflora,0.910714286,0.9,forb,"Sparse (S), Intermittent (T)"
SGS,Leucocrinum_montanum,0.642857143,0.3,forb,"Sparse (S), Persistent (T)"
SGS,Scorzonera_laciniata,0.928571429,0.9,forb,"Sparse (S), Intermittent (T)"
SGS,Salsola_tragus,0.196428571,0.2,forb,"Common (S), Persistent (T)"
SGS,Sporobolus_cryptandrus,0.732142857,0.6,grass,"Sparse (S), Intermittent (T)"
SGS,Ericameria_nauseosa,0.571428571,0.4,shrub,"Sparse (S), Persistent (T)"
SGS,Penstemon_angustifolius,1,1,shrub,"Sparse (S), Intermittent (T)"
SGS,Draba_reptans,0.946428571,0.9,forb,"Sparse (S), Intermittent (T)"
SGS,Machaeranthera_tanacetifolia,0.214285714,0.4,forb,"Common (S), Persistent (T)"
SGS,Lappula_redowskii,1,1,forb,"Sparse (S), Intermittent (T)"
SGS,Lithospermum_incisum,0.678571429,0.4,forb,"Sparse (S), Persistent (T)"
SGS,Chenopodium_sp.,0.232142857,0.3,forb,"Common (S), Persistent (T)"
