"period","site","term","estimate","conf.low","conf.high","std.error","statistic","p.value"
"Drought","KNZ","(Intercept)",-0.54,-0.82,-0.25,0.14,-3.7,0.0004407064
"Drought","KNZ","spatial_rarity",1.09,0.57,1.62,0.26,4.14,0.0001021564
"Drought","HYS","(Intercept)",-0.36,-0.56,-0.15,0.1,-3.45,0.0008308599
"Drought","HYS","spatial_rarity",1.23,0.86,1.59,0.18,6.67,1.8e-09
"Drought","CHY","(Intercept)",-0.01,-0.26,0.24,0.13,-0.1,0.9230201647
"Drought","CHY","spatial_rarity",0.05,-0.42,0.51,0.23,0.2,0.8455072588
"Drought","SGS","(Intercept)",-0.12,-0.45,0.22,0.17,-0.69,0.4903182515
"Drought","SGS","spatial_rarity",-0.07,-0.69,0.56,0.31,-0.22,0.8254352177
"Drought","SBL","(Intercept)",-0.03,-0.28,0.22,0.13,-0.23,0.8160363709
"Drought","SBL","spatial_rarity",0.9,0.41,1.39,0.24,3.69,0.0004898539
"Drought","SBK","(Intercept)",-0.56,-0.85,-0.27,0.14,-3.91,0.0002720585
"Drought","SBK","spatial_rarity",1.61,1.06,2.16,0.27,5.86,3.354e-07
"Post-Drought","KNZ","(Intercept)",-0.45,-0.74,-0.16,0.14,-3.15,0.0024878549
"Post-Drought","KNZ","spatial_rarity",1.02,0.51,1.53,0.26,3.97,0.0001841226
"Post-Drought","HYS","(Intercept)",-0.3,-0.53,-0.06,0.12,-2.53,0.0129416406
"Post-Drought","HYS","spatial_rarity",0.99,0.56,1.42,0.22,4.54,1.72626e-05
"Post-Drought","CHY","(Intercept)",-0.15,-0.41,0.1,0.13,-1.2,0.2345403241
"Post-Drought","CHY","spatial_rarity",0.41,-0.05,0.87,0.23,1.77,0.0808625318
"Post-Drought","SGS","(Intercept)",0.01,-0.34,0.36,0.17,0.05,0.9613226142
"Post-Drought","SGS","spatial_rarity",-0.18,-0.87,0.52,0.34,-0.51,0.6140749943
"Post-Drought","SBL","(Intercept)",-0.05,-0.3,0.21,0.13,-0.35,0.7269939698
"Post-Drought","SBL","spatial_rarity",0.85,0.42,1.29,0.22,3.92,0.0001832542
"Post-Drought","SBK","(Intercept)",-0.28,-0.6,0.04,0.16,-1.74,0.0866294557
"Post-Drought","SBK","spatial_rarity",0.88,0.28,1.48,0.3,2.93,0.0047163567
"Drought","KNZ","(Intercept)",-0.34,-0.56,-0.11,0.11,-3,0.0037820301
"Drought","KNZ","temporal_rarity",0.77,0.37,1.17,0.2,3.85,0.0002727602
"Drought","HYS","(Intercept)",-0.15,-0.32,0.03,0.09,-1.66,0.1001353936
"Drought","HYS","temporal_rarity",0.86,0.55,1.17,0.15,5.56,2.481e-07
"Drought","CHY","(Intercept)",-0.02,-0.2,0.17,0.09,-0.2,0.8423159971
"Drought","CHY","temporal_rarity",0.08,-0.3,0.46,0.19,0.42,0.677583777
"Drought","SGS","(Intercept)",-0.23,-0.52,0.07,0.15,-1.55,0.1265979786
"Drought","SGS","temporal_rarity",0.18,-0.38,0.75,0.28,0.66,0.5108210044
"Drought","SBL","(Intercept)",-0.08,-0.37,0.21,0.15,-0.53,0.5997462708
"Drought","SBL","temporal_rarity",0.77,0.31,1.22,0.23,3.38,0.0012978687
"Drought","SBK","(Intercept)",-0.63,-0.95,-0.32,0.16,-4.07,0.0001660188
"Drought","SBK","temporal_rarity",1.42,0.92,1.91,0.25,5.77,4.754e-07
"Post-Drought","KNZ","(Intercept)",-0.27,-0.5,-0.05,0.11,-2.46,0.0165816649
"Post-Drought","KNZ","temporal_rarity",0.76,0.36,1.15,0.2,3.82,0.0003001534
"Post-Drought","HYS","(Intercept)",-0.12,-0.31,0.07,0.1,-1.26,0.2123324372
"Post-Drought","HYS","temporal_rarity",0.66,0.32,1,0.17,3.81,0.000254629
"Post-Drought","CHY","(Intercept)",-0.05,-0.24,0.14,0.1,-0.53,0.5986944114
"Post-Drought","CHY","temporal_rarity",0.26,-0.13,0.65,0.19,1.33,0.1889044909
"Post-Drought","SGS","(Intercept)",-0.14,-0.44,0.16,0.15,-0.92,0.3642042074
"Post-Drought","SGS","temporal_rarity",0.18,-0.43,0.8,0.31,0.6,0.5520630533
"Post-Drought","SBL","(Intercept)",0,-0.33,0.32,0.16,-0.01,0.9948605973
"Post-Drought","SBL","temporal_rarity",0.59,0.14,1.04,0.23,2.61,0.0107818159
"Post-Drought","SBK","(Intercept)",-0.18,-0.53,0.18,0.18,-0.98,0.3329905215
"Post-Drought","SBK","temporal_rarity",0.49,-0.04,1.02,0.27,1.86,0.067971683
