"period","rarity","predictor","type","Estimate","Std. Error","t value","Pr(>|t|)"
"Drought","Spatial","Precip","(Intercept)",0.8,0.3,2.68,0.0553869730931598
"Drought","Spatial","Precip","z_precip",0.15,0.33,0.45,0.675953531460375
"Drought","Spatial","Temp","(Intercept)1",0.8,0.14,5.76,0.004503402089833
"Drought","Spatial","Temp","z_temp",0.6,0.15,3.93,0.0170733851834434
"Drought","Spatial","Dominance","(Intercept)2",-0.56,1.01,-0.55,0.609069615359844
"Drought","Spatial","Dominance","dom.rounded",2.97,2.14,1.39,0.236489805774315
"Drought","Spatial","Aridity","(Intercept)3",0.72,0.61,1.18,0.303385517856655
"Drought","Spatial","Aridity","aridity",0.31,1.97,0.16,0.881693693190654
"Drought","Spatial","Soil Field Capacity","(Intercept)4",0.8,0.23,3.49,0.0251657642610798
"Drought","Spatial","Soil Field Capacity","z_soil",0.45,0.25,1.77,0.151392651441948
"Drought","Temporal","Precip","(Intercept)5",0.68,0.22,3.04,0.0383122170715503
"Drought","Temporal","Precip","z_precip1",0.01,0.24,0.03,0.978651797334253
"Drought","Temporal","Temp","(Intercept)6",0.68,0.11,6.35,0.00314626003818511
"Drought","Temporal","Temp","z_temp1",0.43,0.12,3.67,0.0214574630654815
"Drought","Temporal","Dominance","(Intercept)7",-0.62,0.59,-1.05,0.354618991695436
"Drought","Temporal","Dominance","dom.rounded1",2.84,1.26,2.26,0.0864004355500715
"Drought","Temporal","Aridity","(Intercept)8",0.76,0.44,1.72,0.1607798198533
"Drought","Temporal","Aridity","aridity1",-0.3,1.43,-0.21,0.844203484559343
"Drought","Temporal","Soil Field Capacity","(Intercept)9",0.68,0.2,3.45,0.0261176291053016
"Drought","Temporal","Soil Field Capacity","z_soil1",0.23,0.22,1.07,0.346420678917821
"Post-Drought","Spatial","Precipitation","(Intercept)",0.66,0.19,3.45,0.0261107972786111
"Post-Drought","Spatial","Precipitation","z_precip",0.2,0.21,0.94,0.401827980740154
"Post-Drought","Spatial","Temperature","(Intercept)1",0.66,0.14,4.87,0.00823045546848292
"Post-Drought","Spatial","Temperature","z_temp",0.36,0.15,2.39,0.0749351449641094
"Post-Drought","Spatial","Dominance","(Intercept)2",0.33,0.83,0.4,0.709452522577237
"Post-Drought","Spatial","Dominance","dom.rounded",0.72,1.77,0.41,0.704761831696069
"Post-Drought","Spatial","Aridity","(Intercept)3",0.44,0.4,1.09,0.336757623371458
"Post-Drought","Spatial","Aridity","aridity",0.84,1.3,0.65,0.553297601473066
"Post-Drought","Spatial","Soil Field Capacity","(Intercept)4",0.66,0.1,6.8,0.00244550913667521
"Post-Drought","Spatial","Soil Field Capacity","z_soil",0.41,0.11,3.87,0.0180141323068481
"Post-Drought","Temporal","Precipitation","(Intercept)5",0.49,0.08,6.03,0.0038011964517088
"Post-Drought","Temporal","Precipitation","z_precip1",0.14,0.09,1.59,0.187063853266273
"Post-Drought","Temporal","Temperature","(Intercept)6",0.49,0.06,8.36,0.00111811830037378
"Post-Drought","Temporal","Temperature","z_temp1",0.19,0.06,2.92,0.0431799401569069
"Post-Drought","Temporal","Dominance","(Intercept)7",0.41,0.41,0.99,0.379769867884493
"Post-Drought","Temporal","Dominance","dom.rounded1",0.18,0.88,0.2,0.848226207975369
"Post-Drought","Temporal","Aridity","(Intercept)8",0.3,0.18,1.73,0.159319388707
"Post-Drought","Temporal","Aridity","aridity1",0.7,0.57,1.22,0.289027926974918
"Post-Drought","Temporal","Soil Field Capacity","(Intercept)9",0.49,0.06,8.58,0.00101451910073841
"Post-Drought","Temporal","Soil Field Capacity","z_soil1",0.19,0.06,3.03,0.0387296430023066
