"predictor","period","rarity","type","Estimate","Std. Error","t value","Pr(>|t|)","signif"
"Precipitation","Post-Drought","Spatial","(Intercept)",0.688376070537635,0.194773356401255,3.53424145507614,0.0241381788544373,"*"
"Precipitation","Post-Drought","Spatial","z_precip",0.2393336359857,0.213363521803921,1.12171768614527,0.324767079069241," "
"Temperature","Post-Drought","Spatial","(Intercept)1",0.688376070537635,0.138302848835803,4.97730940708888,0.00761186256358392,"**"
"Temperature","Post-Drought","Spatial","z_temp",0.384140214868411,0.151503180149193,2.53552575259561,0.0642858067783822,"."
"Dominance","Post-Drought","Spatial","(Intercept)2",0.281487429927241,0.847229794891045,0.332244488596439,0.756385864164229," "
"Dominance","Post-Drought","Spatial","dom.rounded",0.899201415713577,1.81003292038285,0.496787326676567,0.645402561486403," "
"Precipitation","Post-Drought","Temporal","(Intercept)3",0.516331231900603,0.110366168657879,4.67834698059659,0.00945934033340646,"**"
"Precipitation","Post-Drought","Temporal","z_precip1",0.215575644948761,0.12090008031868,1.78308934436211,0.149146395177351," "
"Temperature","Post-Drought","Temporal","(Intercept)4",0.516331231900603,0.098783204106294,5.22691318399647,0.00639716096375761,"**"
"Temperature","Post-Drought","Temporal","z_temp1",0.241041891783358,0.108211578383308,2.22750555332939,0.0898595282516077,"."
"Dominance","Post-Drought","Temporal","(Intercept)5",0.438660205498811,0.576607964148644,0.760759879802368,0.489177333222165," "
"Dominance","Post-Drought","Temporal","dom.rounded1",0.171648677131032,1.23187286797226,0.139339603618007,0.895915865237108," "
