"type","Estimate","Std. Error","t value","Pr(>|t|)","site","rarity"
"(Intercept)",-0.04,0.097,-0.413,0.680294205,"SBL","Spatial"
"spatial_rarity",0.928,0.155,5.999,1.65e-08,"SBL","Spatial"
"drought_length7 Years",-0.016,0.098,-0.164,0.8702411905,"SBL","Spatial"
"(Intercept)1",-0.047,0.113,-0.414,0.6797923544,"SBL","Temporal"
"temporal_rarity",0.712,0.153,4.668,7.1115e-06,"SBL","Temporal"
"drought_length7 Years1",-0.017,0.103,-0.17,0.8652987317,"SBL","Temporal"
"(Intercept)2",-0.516,0.106,-4.842,4.083e-06,"SBK","Spatial"
"spatial_rarity1",1.498,0.167,8.944,0,"SBK","Spatial"
"drought_length7 Years2",0.009,0.109,0.084,0.9332860241,"SBK","Spatial"
"(Intercept)3",-0.584,0.115,-5.071,1.5492e-06,"SBK","Temporal"
"temporal_rarity1",1.325,0.155,8.552,0,"SBK","Temporal"
"drought_length7 Years3",0.002,0.111,0.014,0.9888444263,"SBK","Temporal"
