"period","site","term","estimate","std.error","statistic","p.value"
"Drought","KNZ","(Intercept)",-0.535,0.145,-3.704,0.0004407064
"Drought","KNZ","spatial_rarity",1.093,0.264,4.14,0.0001021564
"Drought","HYS","(Intercept)",-0.356,0.103,-3.454,0.0008308599
"Drought","HYS","spatial_rarity",1.227,0.184,6.667,1.8e-09
"Drought","CHY","(Intercept)",-0.012,0.126,-0.097,0.9230201647
"Drought","CHY","spatial_rarity",0.046,0.234,0.196,0.8455072588
"Drought","SGS","(Intercept)",-0.116,0.167,-0.695,0.4903182515
"Drought","SGS","spatial_rarity",-0.069,0.311,-0.222,0.8254352177
"Drought","SBL","(Intercept)",-0.029,0.125,-0.234,0.8160363709
"Drought","SBL","spatial_rarity",0.901,0.244,3.691,0.0004898539
"Drought","SBK","(Intercept)",-0.563,0.144,-3.912,0.0002720585
"Drought","SBK","spatial_rarity",1.611,0.275,5.863,3.354e-07
"Post-Drought","KNZ","(Intercept)",-0.451,0.143,-3.149,0.0024878549
"Post-Drought","KNZ","spatial_rarity",1.018,0.256,3.971,0.0001841226
"Post-Drought","HYS","(Intercept)",-0.297,0.117,-2.535,0.0129416406
"Post-Drought","HYS","spatial_rarity",0.991,0.218,4.536,1.72626e-05
"Post-Drought","CHY","(Intercept)",-0.153,0.127,-1.199,0.2345403241
"Post-Drought","CHY","spatial_rarity",0.411,0.232,1.772,0.0808625318
"Post-Drought","SGS","(Intercept)",0.008,0.173,0.049,0.9613226142
"Post-Drought","SGS","spatial_rarity",-0.175,0.345,-0.508,0.6140749943
"Post-Drought","SBL","(Intercept)",-0.045,0.13,-0.35,0.7269939698
"Post-Drought","SBL","spatial_rarity",0.854,0.218,3.924,0.0001832542
"Post-Drought","SBK","(Intercept)",-0.278,0.159,-1.741,0.0866294557
"Post-Drought","SBK","spatial_rarity",0.879,0.3,2.93,0.0047163567
"Drought","KNZ","(Intercept)",-0.337,0.112,-3.004,0.0037820301
"Drought","KNZ","temporal_rarity",0.769,0.2,3.85,0.0002727602
"Drought","HYS","(Intercept)",-0.147,0.089,-1.661,0.1001353936
"Drought","HYS","temporal_rarity",0.86,0.155,5.563,2.481e-07
"Drought","CHY","(Intercept)",-0.018,0.093,-0.2,0.8423159971
"Drought","CHY","temporal_rarity",0.08,0.191,0.418,0.677583777
"Drought","SGS","(Intercept)",-0.225,0.145,-1.554,0.1265979786
"Drought","SGS","temporal_rarity",0.185,0.279,0.662,0.5108210044
"Drought","SBL","(Intercept)",-0.077,0.145,-0.528,0.5997462708
"Drought","SBL","temporal_rarity",0.767,0.227,3.378,0.0012978687
"Drought","SBK","(Intercept)",-0.633,0.156,-4.066,0.0001660188
"Drought","SBK","temporal_rarity",1.418,0.246,5.766,4.754e-07
"Post-Drought","KNZ","(Intercept)",-0.274,0.111,-2.461,0.0165816649
"Post-Drought","KNZ","temporal_rarity",0.758,0.198,3.824,0.0003001534
"Post-Drought","HYS","(Intercept)",-0.121,0.096,-1.256,0.2123324372
"Post-Drought","HYS","temporal_rarity",0.66,0.173,3.806,0.000254629
"Post-Drought","CHY","(Intercept)",-0.051,0.096,-0.529,0.5986944114
"Post-Drought","CHY","temporal_rarity",0.258,0.195,1.327,0.1889044909
"Post-Drought","SGS","(Intercept)",-0.137,0.149,-0.917,0.3642042074
"Post-Drought","SGS","temporal_rarity",0.183,0.306,0.599,0.5520630533
"Post-Drought","SBL","(Intercept)",-0.001,0.163,-0.006,0.9948605973
"Post-Drought","SBL","temporal_rarity",0.59,0.226,2.611,0.0107818159
"Post-Drought","SBK","(Intercept)",-0.175,0.179,-0.976,0.3329905215
"Post-Drought","SBK","temporal_rarity",0.493,0.265,1.857,0.067971683
