"period","rarity","type","F","Df","Df.res","Pr(>F)"
"Drought","Spatial","(Intercept)",0.409,1,37.222,0.526
"Drought","Spatial","spatial_rarity",1.761,1,386.413,0.185
"Drought","Spatial","Duration",15.343,1,387.739,0
"Drought","Spatial","spatial_rarity:Duration",11.267,1,386.571,0.001
"Drought","Temporal","(Intercept)1",0.024,1,86.763,0.877
"Drought","Temporal","temporal_rarity",3.198,1,386.823,0.075
"Drought","Temporal","Duration1",4.502,1,387.629,0.034
"Drought","Temporal","temporal_rarity:Duration",3.43,1,386.504,0.065
"Post-Drought","Spatial","(Intercept)2",0.219,1,85.021,0.641
"Post-Drought","Spatial","spatial_rarity1",10.644,1,407.613,0.001
"Post-Drought","Spatial","Duration2",3.461,1,407.109,0.064
"Post-Drought","Spatial","spatial_rarity:Duration1",0.672,1,407.53,0.413
"Post-Drought","Temporal","(Intercept)3",0.018,1,171.881,0.892
"Post-Drought","Temporal","temporal_rarity1",4.561,1,395.76,0.033
"Post-Drought","Temporal","Duration3",1.959,1,406.682,0.162
"Post-Drought","Temporal","temporal_rarity:Duration1",0.645,1,407.606,0.422
