"period","rarity","type","Estimate","Std. Error","df","t value","Pr(>|t|)","signif"
"Drought","Spatial","(Intercept)",0.09,0.14,36.57,0.64,0.526," "
"Drought","Spatial","spatial_rarity",0.27,0.2,386.38,1.33,0.184," "
"Drought","Spatial","Durationperennial",-0.52,0.13,387.73,-3.93,0,"***"
"Drought","Spatial","spatial_rarity:Durationperennial",0.79,0.24,386.54,3.36,0.001,"***"
"Drought","Temporal","(Intercept)1",0.02,0.14,85.34,0.16,0.877," "
"Drought","Temporal","temporal_rarity",0.36,0.2,386.8,1.79,0.074,"."
"Drought","Temporal","Durationperennial1",-0.29,0.14,387.62,-2.13,0.034,"*"
"Drought","Temporal","temporal_rarity:Durationperennial",0.42,0.22,386.47,1.86,0.064,"."
"Post-Drought","Spatial","(Intercept)2",-0.06,0.12,84.43,-0.47,0.64," "
"Post-Drought","Spatial","spatial_rarity1",0.64,0.19,407.61,3.27,0.001,"**"
"Post-Drought","Spatial","Durationperennial2",-0.25,0.13,407.1,-1.87,0.062,"."
"Post-Drought","Spatial","spatial_rarity:Durationperennial1",0.19,0.23,407.53,0.82,0.411," "
"Post-Drought","Temporal","(Intercept)3",0.02,0.14,169.49,0.14,0.891," "
"Post-Drought","Temporal","temporal_rarity1",0.43,0.2,395.47,2.16,0.031,"*"
"Post-Drought","Temporal","Durationperennial3",-0.2,0.14,406.65,-1.41,0.16," "
"Post-Drought","Temporal","temporal_rarity:Durationperennial1",0.18,0.22,407.6,0.81,0.42," "
