"predictor","period","rarity","type","Estimate","Std. Error","t value","Pr(>|t|)","signif"
"Precipitation","Post-Drought","Spatial","(Intercept)",0.663,0.192,3.448,0.026,"*"
"Precipitation","Post-Drought","Spatial","z_precip",0.197,0.211,0.937,0.402," "
"Temperature","Post-Drought","Spatial","(Intercept)1",0.663,0.136,4.868,0.008,"**"
"Temperature","Post-Drought","Spatial","z_temp",0.357,0.149,2.393,0.075,"."
"Dominance","Post-Drought","Spatial","(Intercept)2",0.334,0.834,0.4,0.709," "
"Dominance","Post-Drought","Spatial","dom.rounded",0.719,1.765,0.407,0.705," "
"Aridity","Post-Drought","Spatial","(Intercept)3",0.438,0.402,1.091,0.337," "
"Aridity","Post-Drought","Spatial","aridity",0.84,1.3,0.646,0.553," "
"Precipitation","Post-Drought","Temporal","(Intercept)4",0.491,0.081,6.035,0.004,"**"
"Precipitation","Post-Drought","Temporal","z_precip1",0.142,0.089,1.59,0.187," "
"Temperature","Post-Drought","Temporal","(Intercept)5",0.491,0.059,8.363,0.001,"**"
"Temperature","Post-Drought","Temporal","z_temp1",0.188,0.064,2.921,0.043,"*"
"Dominance","Post-Drought","Temporal","(Intercept)6",0.409,0.414,0.986,0.38," "
"Dominance","Post-Drought","Temporal","dom.rounded1",0.179,0.877,0.204,0.848," "
"Aridity","Post-Drought","Temporal","(Intercept)7",0.304,0.176,1.727,0.159," "
"Aridity","Post-Drought","Temporal","aridity1",0.696,0.57,1.221,0.289," "
