"predictor","period","rarity","type","Estimate","Std. Error","t value","Pr(>|t|)","signif"
"Precip","Drought","Spatial","(Intercept)",0.801,0.299,2.677,0.055,"."
"Precip","Drought","Spatial","z_precip",0.148,0.328,0.45,0.676," "
"Temp","Drought","Spatial","(Intercept)1",0.801,0.139,5.761,0.005,"**"
"Temp","Drought","Spatial","z_temp",0.599,0.152,3.932,0.017,"*"
"Dominance","Drought","Spatial","(Intercept)2",-0.56,1.01,-0.554,0.609," "
"Dominance","Drought","Spatial","dom.rounded",2.974,2.137,1.391,0.236," "
"Aridity","Drought","Spatial","(Intercept)3",0.718,0.608,1.18,0.303," "
"Aridity","Drought","Spatial","aridity",0.312,1.968,0.159,0.882," "
"Precip","Drought","Temporal","(Intercept)4",0.68,0.223,3.042,0.038,"*"
"Precip","Drought","Temporal","z_precip1",0.007,0.245,0.028,0.979," "
"Temp","Drought","Temporal","(Intercept)5",0.68,0.107,6.353,0.003,"**"
"Temp","Drought","Temporal","z_temp1",0.43,0.117,3.666,0.021,"*"
"Dominance","Drought","Temporal","(Intercept)6",-0.621,0.593,-1.046,0.355," "
"Dominance","Drought","Temporal","dom.rounded1",2.841,1.256,2.263,0.086,"."
"Aridity","Drought","Temporal","(Intercept)7",0.76,0.442,1.719,0.161," "
"Aridity","Drought","Temporal","aridity1",-0.3,1.43,-0.21,0.844," "
