"","period","site","term","estimate","std.error","statistic","p.value","signif"
"1","Drought","KNZ","(Intercept)",-0.327639222698934,0.110876868293392,-2.95498265546214,0.004372135500753,"**"
"2","Drought","KNZ","temporal_rarity",0.785855515913337,0.197144027335017,3.98619997032876,0.000174772540860976,"***"
"3","Drought","HYS","(Intercept)",-0.148634110376213,0.0880127219746823,-1.68877983820304,0.0946856178905846,"."
"4","Drought","HYS","temporal_rarity",0.879767402559501,0.157948070699295,5.56997878267485,2.56353081005951e-07,"***"
"5","Drought","CHY","(Intercept)",-0.015908208849365,0.0883872484636232,-0.17998307590616,0.85770113600024," "
"6","Drought","CHY","temporal_rarity",0.0791986477154738,0.190157342515326,0.416490084831148,0.678363148283578," "
"7","Drought","SGS","(Intercept)",-0.19660010818278,0.130789874958701,-1.50317528971458,0.139483974288037," "
"8","Drought","SGS","temporal_rarity",0.153501039705878,0.281629271445113,0.54504646806855,0.588298794731183," "
"9","Drought","SBL","(Intercept)",-0.0765094061531818,0.145010327231167,-0.52761349908007,0.599746270801554," "
"10","Drought","SBL","temporal_rarity",0.766566300030837,0.226923465734427,3.37808299176942,0.00129786871207496,"**"
"11","Drought","SBK","(Intercept)",-0.632829828847137,0.155653257518058,-4.0656381943932,0.000166018797661159,"***"
"12","Drought","SBK","temporal_rarity",1.41817705348873,0.245940287018025,5.76634707019265,4.7536095059169e-07,"***"
"13","Post-Drought","KNZ","(Intercept)",-0.263343440919871,0.10950396180696,-2.40487592023481,0.0191282291385912,"*"
"14","Post-Drought","KNZ","temporal_rarity",0.776490988162515,0.195076891587757,3.98043551874622,0.000180543096105011,"***"
"15","Post-Drought","HYS","(Intercept)",-0.0908435780330317,0.0808225748836663,-1.12398767502507,0.26429795854836," "
"16","Post-Drought","HYS","temporal_rarity",0.938503389862862,0.161597655965876,5.80765472279524,1.16118877389579e-07,"***"
"17","Post-Drought","CHY","(Intercept)",-0.0392988164235232,0.0910599052726138,-0.431571022459017,0.667418469138652," "
"18","Post-Drought","CHY","temporal_rarity",0.196018554736259,0.198185395837646,0.989066595486368,0.32613696232435," "
"19","Post-Drought","SGS","(Intercept)",-0.129421774544865,0.143850357196125,-0.899697276166039,0.373411067085149," "
"20","Post-Drought","SGS","temporal_rarity",0.1038039644165,0.339992590842361,0.305312430954207,0.761636248859582," "
"21","Post-Drought","SBL","(Intercept)",-0.00105619783202759,0.163460374267132,-0.00646149158022559,0.99486059728609," "
"22","Post-Drought","SBL","temporal_rarity",0.590236886453623,0.226074991259435,2.61080132377973,0.0107818158500449,"*"
"23","Post-Drought","SBK","(Intercept)",-0.175007379011197,0.179383038194605,-0.975607174304508,0.332990521530658," "
"24","Post-Drought","SBK","temporal_rarity",0.492933607771856,0.265430753652304,1.85710811949683,0.0679716829632705,"."
