"predictor","period","rarity","type","Estimate","Std. Error","t value","Pr(>|t|)","signif"
"Precip","Drought","Spatial","(Intercept)",0.797960695884544,0.295291637525081,2.7022800326229,0.0539667298121327,"."
"Precip","Drought","Spatial","z_precip",0.135080648846129,0.323475781830251,0.417591227639461,0.697687196159383," "
"Temp","Drought","Spatial","(Intercept)1",0.797960695884545,0.133942101470301,5.9575046764626,0.00398494997867368,"**"
"Temp","Drought","Spatial","z_temp",0.592181367482392,0.146726220749859,4.0359614284072,0.015656173692884,"*"
"Dominance","Drought","Spatial","(Intercept)2",-0.653897926875227,0.909238379141679,-0.71917105775111,0.511810170835529," "
"Dominance","Drought","Spatial","dom.rounded",3.20852734311552,1.94250887851935,1.6517439784168,0.173930961872932," "
"Precip","Drought","Temporal","(Intercept)3",0.680510993235626,0.22729238040381,2.99398946865981,0.0401795278713785,"*"
"Precip","Drought","Temporal","z_precip1",0.0189183341498987,0.248986327792424,0.0759814176048678,0.943082372788107," "
"Temp","Drought","Temporal","(Intercept)4",0.680510993235626,0.107796689953727,6.31291177426451,0.00322005379713048,"**"
"Temp","Drought","Temporal","z_temp1",0.438814382769444,0.118085357424094,3.71607786385808,0.0205447081702112,"*"
"Dominance","Drought","Temporal","(Intercept)5",-0.637598759749387,0.570822339859047,-1.11698284251949,0.32656392153821," "
"Dominance","Drought","Temporal","dom.rounded1",2.91294973035362,1.21951238384825,2.38861840923797,0.0752806692369826,"."
